bank_transaction_id,transaction_id,merchant_id,transaction_date,credit_amount,transaction_type,reference,currency
BANK00001,TXN00001,MERCHANT_001,2026-03-14,799,CREDIT,TXN00001,INR
BANK00002,TXN00002,MERCHANT_001,2026-06-23,5999,CREDIT,TXN00002,INR
BANK00003,TXN00003,MERCHANT_001,2026-01-08,299,CREDIT,TXN00003,INR
BANK00004,TXN00004,MERCHANT_005,2026-06-06,199,CREDIT,TXN00004,INR
BANK00005,TXN00005,MERCHANT_004,2026-02-26,2499,CREDIT,TXN00005,INR
BANK00006,TXN00006,MERCHANT_002,2026-06-28,1999,CREDIT,TXN00006,INR
BANK00007,TXN00007,MERCHANT_002,2026-02-25,7999,CREDIT,TXN00007,INR
BANK00008,TXN00008,MERCHANT_001,2026-04-08,299,CREDIT,TXN00008,INR
BANK00009,TXN00009,MERCHANT_005,2026-03-11,7999,CREDIT,TXN00009,INR
BANK00010,TXN00010,MERCHANT_005,2026-02-01,1999,CREDIT,TXN00010,INR
BANK00011,TXN00011,MERCHANT_003,2026-06-12,3999,CREDIT,TXN00011,INR
BANK00012,TXN00012,MERCHANT_002,2026-07-02,299,CREDIT,TXN00012,INR
BANK00013,TXN00013,MERCHANT_003,2026-01-22,9999,CREDIT,TXN00013,INR
BANK00014,TXN00014,MERCHANT_004,2026-03-13,2499,CREDIT,TXN00014,INR
BANK00015,TXN00015,MERCHANT_003,2026-04-02,799,CREDIT,TXN00015,INR
BANK00016,TXN00016,MERCHANT_005,2026-06-13,499,CREDIT,TXN00016,INR
BANK00017,TXN00017,MERCHANT_004,2026-04-08,999,CREDIT,TXN00017,INR
BANK00018,TXN00018,MERCHANT_001,2026-02-28,9999,CREDIT,TXN00018,INR
BANK00019,TXN00019,MERCHANT_004,2026-03-10,299,CREDIT,TXN00019,INR
BANK00020,TXN00020,MERCHANT_003,2026-02-24,4999,CREDIT,TXN00020,INR
BANK00021,TXN00021,MERCHANT_004,2026-02-06,999,CREDIT,TXN00021,INR
BANK00022,TXN00022,MERCHANT_005,2026-05-19,999,CREDIT,TXN00022,INR
BANK00023,TXN00023,MERCHANT_004,2026-04-04,799,CREDIT,TXN00023,INR
BANK00024,TXN00024,MERCHANT_004,2026-01-24,7999,CREDIT,TXN00024,INR
BANK00025,TXN00025,MERCHANT_002,2026-06-11,499,CREDIT,TXN00025,INR
BANK00026,TXN00026,MERCHANT_004,2026-04-08,3999,CREDIT,TXN00026,INR
BANK00027,TXN00027,MERCHANT_003,2026-05-24,9999,CREDIT,TXN00027,INR
BANK00028,TXN00028,MERCHANT_005,2026-03-12,7999,CREDIT,TXN00028,INR
BANK00029,TXN00029,MERCHANT_003,2026-04-24,499,CREDIT,TXN00029,INR
BANK00030,TXN00030,MERCHANT_003,2026-05-10,7999,CREDIT,TXN00030,INR
BANK00031,TXN00031,MERCHANT_001,2026-06-11,999,CREDIT,TXN00031,INR
BANK00032,TXN00032,MERCHANT_003,2026-02-11,2999,CREDIT,TXN00032,INR
BANK00033,TXN00033,MERCHANT_004,2026-01-06,299,CREDIT,TXN00033,INR
BANK00034,TXN00034,MERCHANT_002,2026-01-16,799,CREDIT,TXN00034,INR
BANK00035,TXN00035,MERCHANT_004,2026-01-18,7999,CREDIT,TXN00035,INR
BANK00036,TXN00036,MERCHANT_004,2026-05-21,499,CREDIT,TXN00036,INR
BANK00037,TXN00037,MERCHANT_005,2026-04-19,799,CREDIT,TXN00037,INR
BANK00038,TXN00038,MERCHANT_004,2026-06-23,4999,CREDIT,TXN00038,INR
BANK00039,TXN00039,MERCHANT_005,2026-04-27,299,CREDIT,TXN00039,INR
BANK00040,TXN00040,MERCHANT_001,2026-03-28,199,CREDIT,TXN00040,INR
