order_id,transaction_id,merchant_id,customer_id,order_date,order_amount,currency,payment_method
ORD00001,TXN00001,MERCHANT_001,CUST0058,2026-03-12,799,INR,CARD
ORD00002,TXN00002,MERCHANT_001,CUST0072,2026-06-23,5999,INR,UPI
ORD00003,TXN00003,MERCHANT_001,CUST0217,2026-01-08,299,INR,CARD
ORD00004,TXN00004,MERCHANT_005,CUST0120,2026-06-04,199,INR,CARD
ORD00005,TXN00005,MERCHANT_004,CUST0280,2026-02-26,2499,INR,NETBANKING
ORD00006,TXN00006,MERCHANT_002,CUST0004,2026-06-28,1999,INR,NETBANKING
ORD00007,TXN00007,MERCHANT_002,CUST0143,2026-02-25,7999,INR,NETBANKING
ORD00008,TXN00008,MERCHANT_001,CUST0053,2026-04-08,299,INR,NETBANKING
ORD00009,TXN00009,MERCHANT_005,CUST0177,2026-03-09,7999,INR,UPI
ORD00010,TXN00010,MERCHANT_005,CUST0236,2026-02-01,1999,INR,UPI
ORD00011,TXN00011,MERCHANT_003,CUST0283,2026-06-10,3999,INR,NETBANKING
ORD00012,TXN00012,MERCHANT_002,CUST0296,2026-06-30,299,INR,UPI
ORD00013,TXN00013,MERCHANT_003,CUST0117,2026-01-21,9999,INR,CARD
ORD00014,TXN00014,MERCHANT_004,CUST0052,2026-03-13,2499,INR,NETBANKING
ORD00015,TXN00015,MERCHANT_003,CUST0084,2026-04-01,799,INR,NETBANKING
ORD00016,TXN00016,MERCHANT_005,CUST0037,2026-06-12,499,INR,CARD
ORD00017,TXN00017,MERCHANT_004,CUST0084,2026-04-08,999,INR,CARD
ORD00018,TXN00018,MERCHANT_001,CUST0167,2026-02-28,9999,INR,UPI
ORD00019,TXN00019,MERCHANT_004,CUST0162,2026-03-10,299,INR,CARD
ORD00020,TXN00020,MERCHANT_003,CUST0291,2026-02-24,4999,INR,WALLET
ORD00021,TXN00021,MERCHANT_004,CUST0203,2026-02-06,999,INR,CARD
ORD00022,TXN00022,MERCHANT_005,CUST0127,2026-05-18,999,INR,WALLET
ORD00023,TXN00023,MERCHANT_004,CUST0299,2026-04-03,799,INR,CARD
ORD00024,TXN00024,MERCHANT_004,CUST0261,2026-01-24,7999,INR,UPI
ORD00025,TXN00025,MERCHANT_002,CUST0057,2026-06-10,499,INR,WALLET
ORD00026,TXN00026,MERCHANT_004,CUST0033,2026-04-08,3999,INR,WALLET
ORD00027,TXN00027,MERCHANT_003,CUST0271,2026-05-22,9999,INR,UPI
ORD00028,TXN00028,MERCHANT_005,CUST0059,2026-03-10,7999,INR,NETBANKING
ORD00029,TXN00029,MERCHANT_003,CUST0058,2026-04-22,499,INR,WALLET
ORD00030,TXN00030,MERCHANT_003,CUST0002,2026-05-09,7999,INR,CARD
ORD00031,TXN00031,MERCHANT_001,CUST0260,2026-06-10,999,INR,CARD
ORD00032,TXN00032,MERCHANT_003,CUST0079,2026-02-11,2999,INR,UPI
ORD00033,TXN00033,MERCHANT_004,CUST0166,2026-01-05,299,INR,NETBANKING
ORD00034,TXN00034,MERCHANT_002,CUST0158,2026-01-15,799,INR,UPI
ORD00035,TXN00035,MERCHANT_004,CUST0044,2026-01-18,7999,INR,CARD
ORD00036,TXN00036,MERCHANT_004,CUST0066,2026-05-21,499,INR,NETBANKING
ORD00037,TXN00037,MERCHANT_005,CUST0271,2026-04-19,799,INR,CARD
ORD00038,TXN00038,MERCHANT_004,CUST0160,2026-06-21,4999,INR,NETBANKING
ORD00039,TXN00039,MERCHANT_005,CUST0225,2026-04-26,299,INR,CARD
ORD00040,TXN00040,MERCHANT_001,CUST0116,2026-03-28,199,INR,CARD
ORD00041,TXN00041,MERCHANT_001,CUST0113,2026-01-19,5999,INR,UPI
ORD00042,TXN00042,MERCHANT_001,CUST0118,2026-01-09,9999,INR,NETBANKING
ORD00043,TXN00043,MERCHANT_005,CUST0037,2026-03-02,999,INR,WALLET
ORD00044,TXN00044,MERCHANT_005,CUST0110,2026-02-03,5999,INR,WALLET
ORD00045,TXN00045,MERCHANT_004,CUST0125,2026-04-15,799,INR,UPI
