payment_id,transaction_id,order_id,merchant_id,payment_date,payment_amount,payment_status,payment_method,currency
PAY00001,TXN00001,ORD00001,MERCHANT_001,2026-03-14,799,SUCCESS,CARD,INR
PAY00002,TXN00002,ORD00002,MERCHANT_001,2026-06-23,5999,SUCCESS,UPI,INR
PAY00003,TXN00003,ORD00003,MERCHANT_001,2026-01-08,299,SUCCESS,CARD,INR
PAY00004,TXN00004,ORD00004,MERCHANT_005,2026-06-06,199,SUCCESS,CARD,INR
PAY00005,TXN00005,ORD00005,MERCHANT_004,2026-02-26,2499,SUCCESS,NETBANKING,INR
PAY00006,TXN00006,ORD00006,MERCHANT_002,2026-06-28,1999,SUCCESS,NETBANKING,INR
PAY00007,TXN00007,ORD00007,MERCHANT_002,2026-02-25,7999,SUCCESS,NETBANKING,INR
PAY00008,TXN00008,ORD00008,MERCHANT_001,2026-04-08,299,SUCCESS,NETBANKING,INR
PAY00009,TXN00009,ORD00009,MERCHANT_005,2026-03-11,7999,SUCCESS,UPI,INR
PAY00010,TXN00010,ORD00010,MERCHANT_005,2026-02-01,1999,SUCCESS,UPI,INR
PAY00011,TXN00011,ORD00011,MERCHANT_003,2026-06-12,3999,SUCCESS,NETBANKING,INR
PAY00012,TXN00012,ORD00012,MERCHANT_002,2026-07-02,299,SUCCESS,UPI,INR
PAY00013,TXN00013,ORD00013,MERCHANT_003,2026-01-22,9999,SUCCESS,CARD,INR
PAY00014,TXN00014,ORD00014,MERCHANT_004,2026-03-13,2499,SUCCESS,NETBANKING,INR
PAY00015,TXN00015,ORD00015,MERCHANT_003,2026-04-02,799,SUCCESS,NETBANKING,INR
PAY00016,TXN00016,ORD00016,MERCHANT_005,2026-06-13,499,SUCCESS,CARD,INR
PAY00017,TXN00017,ORD00017,MERCHANT_004,2026-04-08,999,SUCCESS,CARD,INR
PAY00018,TXN00018,ORD00018,MERCHANT_001,2026-02-28,9999,SUCCESS,UPI,INR
PAY00019,TXN00019,ORD00019,MERCHANT_004,2026-03-10,299,SUCCESS,CARD,INR
PAY00020,TXN00020,ORD00020,MERCHANT_003,2026-02-24,4999,SUCCESS,WALLET,INR
PAY00021,TXN00021,ORD00021,MERCHANT_004,2026-02-06,999,SUCCESS,CARD,INR
PAY00022,TXN00022,ORD00022,MERCHANT_005,2026-05-19,999,SUCCESS,WALLET,INR
PAY00023,TXN00023,ORD00023,MERCHANT_004,2026-04-04,799,SUCCESS,CARD,INR
PAY00024,TXN00024,ORD00024,MERCHANT_004,2026-01-24,7999,SUCCESS,UPI,INR
PAY00025,TXN00025,ORD00025,MERCHANT_002,2026-06-11,499,SUCCESS,WALLET,INR
PAY00026,TXN00026,ORD00026,MERCHANT_004,2026-04-08,3999,SUCCESS,WALLET,INR
PAY00027,TXN00027,ORD00027,MERCHANT_003,2026-05-24,9999,SUCCESS,UPI,INR
PAY00028,TXN00028,ORD00028,MERCHANT_005,2026-03-12,7999,SUCCESS,NETBANKING,INR
PAY00029,TXN00029,ORD00029,MERCHANT_003,2026-04-24,499,SUCCESS,WALLET,INR
PAY00030,TXN00030,ORD00030,MERCHANT_003,2026-05-10,7999,SUCCESS,CARD,INR
PAY00031,TXN00031,ORD00031,MERCHANT_001,2026-06-11,999,SUCCESS,CARD,INR
PAY00032,TXN00032,ORD00032,MERCHANT_003,2026-02-11,2999,SUCCESS,UPI,INR
PAY00033,TXN00033,ORD00033,MERCHANT_004,2026-01-06,299,SUCCESS,NETBANKING,INR
PAY00034,TXN00034,ORD00034,MERCHANT_002,2026-01-16,799,SUCCESS,UPI,INR
PAY00035,TXN00035,ORD00035,MERCHANT_004,2026-01-18,7999,SUCCESS,CARD,INR
PAY00036,TXN00036,ORD00036,MERCHANT_004,2026-05-21,499,SUCCESS,NETBANKING,INR
PAY00037,TXN00037,ORD00037,MERCHANT_005,2026-04-19,799,SUCCESS,CARD,INR
PAY00038,TXN00038,ORD00038,MERCHANT_004,2026-06-23,4999,SUCCESS,NETBANKING,INR
PAY00039,TXN00039,ORD00039,MERCHANT_005,2026-04-27,299,SUCCESS,CARD,INR
PAY00040,TXN00040,ORD00040,MERCHANT_001,2026-03-28,199,SUCCESS,CARD,INR
PAY00041,TXN00041,ORD00041,MERCHANT_001,2026-01-19,5999,SUCCESS,UPI,INR
PAY00042,TXN00042,ORD00042,MERCHANT_001,2026-01-09,9999,SUCCESS,NETBANKING,INR
PAY00043,TXN00043,ORD00043,MERCHANT_005,2026-03-02,999,SUCCESS,WALLET,INR
PAY00044,TXN00044,ORD00044,MERCHANT_005,2026-02-03,5999,SUCCESS,WALLET,INR
PAY00045,TXN00045,ORD00045,MERCHANT_004,2026-04-15,799,SUCCESS,UPI,INR
PAY00046,TXN00046,ORD00046,MERCHANT_004,2026-04-01,1999,SUCCESS,WALLET,INR
PAY00047,TXN00047,ORD00047,MERCHANT_001,2026-06-23,4999,SUCCESS,UPI,INR
PAY00048,TXN00048,ORD00048,MERCHANT_004,2026-03-28,7999,SUCCESS,UPI,INR
PAY00049,TXN00049,ORD00049,MERCHANT_002,2026-02-18,2999,SUCCESS,WALLET,INR
PAY00050,TXN00050,ORD00050,MERCHANT_004,2026-02-16,999,SUCCESS,WALLET,INR
PAY00051,TXN00051,ORD00051,MERCHANT_001,2026-04-25,7999,SUCCESS,UPI,INR
PAY00052,TXN00052,ORD00052,MERCHANT_005,2026-01-04,299,SUCCESS,CARD,INR
PAY00053,TXN00053,ORD00053,MERCHANT_004,2026-05-05,2499,SUCCESS,CARD,INR
PAY00054,TXN00054,ORD00054,MERCHANT_001,2026-02-14,1999,SUCCESS,UPI,INR
PAY00055,TXN00055,ORD00055,MERCHANT_003,2026-04-28,999,SUCCESS,WALLET,INR
PAY00056,TXN00056,ORD00056,MERCHANT_004,2026-02-10,799,SUCCESS,NETBANKING,INR
PAY00057,TXN00057,ORD00057,MERCHANT_001,2026-05-29,5999,SUCCESS,UPI,INR
PAY00058,TXN00058,ORD00058,MERCHANT_001,2026-01-14,3999,SUCCESS,WALLET,INR
PAY00059,TXN00059,ORD00059,MERCHANT_005,2026-02-10,199,SUCCESS,UPI,INR
PAY00060,TXN00060,ORD00060,MERCHANT_001,2026-06-03,299,SUCCESS,CARD,INR
PAY00061,TXN00061,ORD00061,MERCHANT_001,2026-05-26,799,SUCCESS,UPI,INR
PAY00062,TXN00062,ORD00062,MERCHANT_004,2026-06-20,3999,SUCCESS,NETBANKING,INR
PAY00063,TXN00063,ORD00063,MERCHANT_002,2026-06-22,5999,SUCCESS,NETBANKING,INR
PAY00064,TXN00064,ORD00064,MERCHANT_003,2026-04-12,499,SUCCESS,NETBANKING,INR
PAY00065,TXN00065,ORD00065,MERCHANT_003,2026-01-20,199,SUCCESS,WALLET,INR
PAY00066,TXN00066,ORD00066,MERCHANT_001,2026-01-19,2999,SUCCESS,CARD,INR
PAY00067,TXN00067,ORD00067,MERCHANT_003,2026-02-05,1499,SUCCESS,UPI,INR
PAY00068,TXN00068,ORD00068,MERCHANT_003,2026-03-14,499,SUCCESS,WALLET,INR
PAY00069,TXN00069,ORD00069,MERCHANT_003,2026-06-06,7999,SUCCESS,UPI,INR
PAY00070,TXN00070,ORD00070,MERCHANT_003,2026-06-21,299,SUCCESS,CARD,INR
PAY00071,TXN00071,ORD00071,MERCHANT_001,2026-01-28,5999,SUCCESS,CARD,INR
PAY00072,TXN00072,ORD00072,MERCHANT_003,2026-06-04,799,SUCCESS,NETBANKING,INR
PAY00073,TXN00073,ORD00073,MERCHANT_003,2026-05-10,2499,SUCCESS,NETBANKING,INR
PAY00074,TXN00074,ORD00074,MERCHANT_001,2026-06-12,1999,SUCCESS,NETBANKING,INR
PAY00075,TXN00075,ORD00075,MERCHANT_001,2026-03-27,7999,SUCCESS,CARD,INR
PAY00076,TXN00076,ORD00076,MERCHANT_002,2026-04-25,2999,SUCCESS,WALLET,INR
PAY00077,TXN00077,ORD00077,MERCHANT_001,2026-01-29,299,SUCCESS,CARD,INR
PAY00078,TXN00078,ORD00078,MERCHANT_001,2026-04-06,3999,SUCCESS,CARD,INR
PAY00079,TXN00079,ORD00079,MERCHANT_002,2026-01-13,999,SUCCESS,NETBANKING,INR
PAY00080,TXN00080,ORD00080,MERCHANT_003,2026-02-23,4999,SUCCESS,CARD,INR
PAY00081,TXN00081,ORD00081,MERCHANT_003,2026-05-24,9999,SUCCESS,WALLET,INR
PAY00082,TXN00082,ORD00082,MERCHANT_002,2026-02-11,7999,SUCCESS,CARD,INR
PAY00083,TXN00083,ORD00083,MERCHANT_001,2026-02-15,5999,SUCCESS,NETBANKING,INR
PAY00084,TXN00084,ORD00084,MERCHANT_002,2026-03-10,499,SUCCESS,UPI,INR
PAY00085,TXN00085,ORD00085,MERCHANT_001,2026-05-03,799,SUCCESS,CARD,INR
PAY00086,TXN00086,ORD00086,MERCHANT_003,2026-03-20,9999,SUCCESS,CARD,INR
PAY00087,TXN00087,ORD00087,MERCHANT_001,2026-06-20,799,SUCCESS,WALLET,INR
PAY00088,TXN00088,ORD00088,MERCHANT_003,2026-01-20,7999,SUCCESS,NETBANKING,INR
PAY00089,TXN00089,ORD00089,MERCHANT_005,2026-04-15,4999,SUCCESS,NETBANKING,INR
PAY00090,TXN00090,ORD00090,MERCHANT_001,2026-03-08,499,SUCCESS,NETBANKING,INR
PAY00091,TXN00091,ORD00091,MERCHANT_001,2026-06-03,1999,SUCCESS,NETBANKING,INR
PAY00092,TXN00092,ORD00092,MERCHANT_004,2026-06-07,2999,SUCCESS,UPI,INR
PAY00093,TXN00093,ORD00093,MERCHANT_005,2026-02-18,999,SUCCESS,UPI,INR
PAY00094,TXN00094,ORD00094,MERCHANT_001,2026-05-15,7999,SUCCESS,CARD,INR
PAY00095,TXN00095,ORD00095,MERCHANT_004,2026-01-20,4999,SUCCESS,NETBANKING,INR
PAY00096,TXN00096,ORD00096,MERCHANT_001,2026-03-18,2999,SUCCESS,NETBANKING,INR
PAY00097,TXN00097,ORD00097,MERCHANT_003,2026-04-14,5999,SUCCESS,NETBANKING,INR
PAY00098,TXN00098,ORD00098,MERCHANT_002,2026-02-20,1999,SUCCESS,WALLET,INR
PAY00099,TXN00099,ORD00099,MERCHANT_005,2026-05-27,999,SUCCESS,WALLET,INR
PAY00100,TXN00100,ORD00100,MERCHANT_001,2026-03-19,999,SUCCESS,CARD,INR
PAY00101,TXN00101,ORD00101,MERCHANT_005,2026-06-07,4999,SUCCESS,NETBANKING,INR
PAY00102,TXN00102,ORD00102,MERCHANT_004,2026-04-26,4999,SUCCESS,CARD,INR
PAY00103,TXN00103,ORD00103,MERCHANT_004,2026-02-14,4999,SUCCESS,UPI,INR
PAY00104,TXN00104,ORD00104,MERCHANT_005,2026-06-19,4999,SUCCESS,NETBANKING,INR
PAY00105,TXN00105,ORD00105,MERCHANT_002,2026-06-24,999,SUCCESS,CARD,INR
PAY00106,TXN00106,ORD00106,MERCHANT_002,2026-01-07,199,SUCCESS,CARD,INR
PAY00107,TXN00107,ORD00107,MERCHANT_005,2026-01-19,2499,SUCCESS,WALLET,INR
PAY00108,TXN00108,ORD00108,MERCHANT_002,2026-06-28,1999,SUCCESS,WALLET,INR
PAY00109,TXN00109,ORD00109,MERCHANT_002,2026-02-07,4999,SUCCESS,UPI,INR
PAY00110,TXN00110,ORD00110,MERCHANT_004,2026-02-26,499,SUCCESS,WALLET,INR
PAY00111,TXN00111,ORD00111,MERCHANT_005,2026-03-06,9999,SUCCESS,UPI,INR
PAY00112,TXN00112,ORD00112,MERCHANT_002,2026-04-29,4999,SUCCESS,NETBANKING,INR
PAY00113,TXN00113,ORD00113,MERCHANT_005,2026-05-10,1999,SUCCESS,WALLET,INR
PAY00114,TXN00114,ORD00114,MERCHANT_004,2026-04-26,999,SUCCESS,CARD,INR
PAY00115,TXN00115,ORD00115,MERCHANT_005,2026-05-06,4999,SUCCESS,CARD,INR
PAY00116,TXN00116,ORD00116,MERCHANT_004,2026-01-22,5999,SUCCESS,NETBANKING,INR
PAY00117,TXN00117,ORD00117,MERCHANT_003,2026-03-27,1499,SUCCESS,UPI,INR
PAY00118,TXN00118,ORD00118,MERCHANT_002,2026-03-01,1999,SUCCESS,CARD,INR
PAY00119,TXN00119,ORD00119,MERCHANT_001,2026-04-19,1999,SUCCESS,NETBANKING,INR
PAY00120,TXN00120,ORD00120,MERCHANT_004,2026-04-18,199,SUCCESS,CARD,INR
PAY00121,TXN00121,ORD00121,MERCHANT_004,2026-05-31,5999,SUCCESS,UPI,INR
PAY00122,TXN00122,ORD00122,MERCHANT_004,2026-05-05,199,SUCCESS,NETBANKING,INR
PAY00123,TXN00123,ORD00123,MERCHANT_004,2026-04-19,2999,SUCCESS,CARD,INR
PAY00124,TXN00124,ORD00124,MERCHANT_002,2026-03-11,1999,SUCCESS,WALLET,INR
