transaction_id,exception_type
TXN00777,AMOUNT_MISMATCH
TXN00508,AMOUNT_MISMATCH
TXN00896,AMOUNT_MISMATCH
TXN00923,AMOUNT_MISMATCH
TXN00034,AMOUNT_MISMATCH
TXN00484,AMOUNT_MISMATCH
TXN00086,AMOUNT_MISMATCH
TXN00751,AMOUNT_MISMATCH
TXN00355,AMOUNT_MISMATCH
TXN00524,AMOUNT_MISMATCH
TXN00185,AMOUNT_MISMATCH
TXN00810,AMOUNT_MISMATCH
TXN00419,AMOUNT_MISMATCH
TXN00616,AMOUNT_MISMATCH
TXN00683,AMOUNT_MISMATCH
TXN00502,AMOUNT_MISMATCH
TXN00761,AMOUNT_MISMATCH
TXN00050,AMOUNT_MISMATCH
TXN00733,AMOUNT_MISMATCH
TXN00337,AMOUNT_MISMATCH
TXN00451,AMOUNT_MISMATCH
TXN00791,AMOUNT_MISMATCH
TXN00351,AMOUNT_MISMATCH
TXN00468,AMOUNT_MISMATCH
TXN00623,AMOUNT_MISMATCH
TXN00477,AMOUNT_MISMATCH
TXN00615,AMOUNT_MISMATCH
TXN00555,AMOUNT_MISMATCH
TXN00366,AMOUNT_MISMATCH
TXN00771,AMOUNT_MISMATCH
TXN00631,MISSING_PAYMENT
TXN00941,MISSING_PAYMENT
TXN00798,MISSING_PAYMENT
TXN00497,MISSING_PAYMENT
TXN00925,MISSING_PAYMENT
TXN00370,MISSING_PAYMENT
TXN00597,MISSING_PAYMENT
TXN00721,MISSING_PAYMENT
TXN00054,MISSING_PAYMENT
TXN00427,MISSING_PAYMENT
TXN00057,MISSING_PAYMENT
TXN00265,MISSING_PAYMENT
TXN00773,MISSING_PAYMENT
TXN00186,MISSING_PAYMENT
TXN00467,MISSING_PAYMENT
TXN00790,MISSING_PAYMENT
TXN00175,MISSING_PAYMENT
TXN00151,MISSING_PAYMENT
TXN00742,MISSING_PAYMENT
TXN00114,MISSING_PAYMENT
TXN00429,MISSING_SETTLEMENT
TXN00966,MISSING_SETTLEMENT
TXN00019,MISSING_SETTLEMENT
TXN00190,MISSING_SETTLEMENT
TXN00415,MISSING_SETTLEMENT
TXN00590,MISSING_SETTLEMENT
TXN00667,MISSING_SETTLEMENT
TXN00764,MISSING_SETTLEMENT
TXN00222,MISSING_SETTLEMENT
TXN00587,MISSING_SETTLEMENT
TXN00582,MISSING_SETTLEMENT
TXN00300,MISSING_SETTLEMENT
TXN00639,MISSING_SETTLEMENT
TXN00387,MISSING_SETTLEMENT
TXN00365,MISSING_SETTLEMENT
TXN00880,MISSING_SETTLEMENT
TXN00335,MISSING_SETTLEMENT
TXN00017,MISSING_SETTLEMENT
TXN00203,MISSING_SETTLEMENT
TXN00002,MISSING_SETTLEMENT
TXN00039,DUPLICATE_PAYMENT
TXN00291,DUPLICATE_PAYMENT
TXN00494,DUPLICATE_PAYMENT
TXN00248,DUPLICATE_PAYMENT
TXN00507,DUPLICATE_PAYMENT
TXN00897,DUPLICATE_PAYMENT
TXN00714,DUPLICATE_PAYMENT
TXN00892,DUPLICATE_PAYMENT
TXN00077,DUPLICATE_PAYMENT
TXN00912,DUPLICATE_PAYMENT
TXN00793,DUPLICATE_PAYMENT
TXN00509,DUPLICATE_PAYMENT
TXN00178,DUPLICATE_PAYMENT
TXN00843,DUPLICATE_PAYMENT
TXN00201,DUPLICATE_PAYMENT
TXN00766,DUPLICATE_SETTLEMENT
TXN00910,DUPLICATE_SETTLEMENT
TXN00294,DUPLICATE_SETTLEMENT
TXN00539,DUPLICATE_SETTLEMENT
TXN00025,DUPLICATE_SETTLEMENT
TXN00695,DUPLICATE_SETTLEMENT
TXN00211,DUPLICATE_SETTLEMENT
TXN00425,DUPLICATE_SETTLEMENT
TXN00529,DUPLICATE_SETTLEMENT
TXN00035,DUPLICATE_SETTLEMENT
TXN00929,FAILED_PAYMENT
TXN00399,FAILED_PAYMENT
TXN00608,FAILED_PAYMENT
TXN00299,FAILED_PAYMENT
TXN00849,FAILED_PAYMENT
TXN00669,FAILED_PAYMENT
TXN00283,FAILED_PAYMENT
TXN00940,FAILED_PAYMENT
TXN00945,FAILED_PAYMENT
TXN00607,FAILED_PAYMENT
TXN00960,FAILED_PAYMENT
