transaction_id,order_id,payment_id,settlement_id,true_status,true_exception_type,true_difference
TXN00001,ORD00001,PAY00001,SET00001,MATCHED,NONE,0.0
TXN00002,ORD00002,PAY00002,,EXCEPTION,MISSING_SETTLEMENT,5892.82
TXN00003,ORD00003,PAY00003,SET00003,MATCHED,NONE,0.0
TXN00004,ORD00004,PAY00004,SET00004,MATCHED,NONE,0.0
TXN00005,ORD00005,PAY00005,SET00005,MATCHED,NONE,0.0
TXN00006,ORD00006,PAY00006,SET00006,MATCHED,NONE,0.0
TXN00007,ORD00007,PAY00007,SET00007,MATCHED,NONE,0.0
TXN00008,ORD00008,PAY00008,SET00008,MATCHED,NONE,0.0
TXN00009,ORD00009,PAY00009,SET00009,MATCHED,NONE,0.0
TXN00010,ORD00010,PAY00010,SET00010,MATCHED,NONE,0.0
TXN00011,ORD00011,PAY00011,SET00011,MATCHED,NONE,0.0
TXN00012,ORD00012,PAY00012,SET00012,MATCHED,NONE,0.0
TXN00013,ORD00013,PAY00013,SET00013,MATCHED,NONE,0.0
TXN00014,ORD00014,PAY00014,SET00014,MATCHED,NONE,0.0
TXN00015,ORD00015,PAY00015,SET00015,MATCHED,NONE,0.0
TXN00016,ORD00016,PAY00016,SET00016,MATCHED,NONE,0.0
TXN00017,ORD00017,PAY00017,,EXCEPTION,MISSING_SETTLEMENT,981.32
TXN00018,ORD00018,PAY00018,SET00018,MATCHED,NONE,0.0
TXN00019,ORD00019,PAY00019,,EXCEPTION,MISSING_SETTLEMENT,295.47
TXN00020,ORD00020,PAY00020,SET00020,MATCHED,NONE,0.0
TXN00021,ORD00021,PAY00021,SET00021,MATCHED,NONE,0.0
TXN00022,ORD00022,PAY00022,SET00022,MATCHED,NONE,0.0
TXN00023,ORD00023,PAY00023,SET00023,MATCHED,NONE,0.0
TXN00024,ORD00024,PAY00024,SET00024,MATCHED,NONE,0.0
TXN00025,ORD00025,PAY00025,SET00025|SET00025_DUP,EXCEPTION,DUPLICATE_SETTLEMENT,493.11
TXN00026,ORD00026,PAY00026,SET00026,MATCHED,NONE,0.0
TXN00027,ORD00027,PAY00027,SET00027,EXCEPTION,DATE_MISMATCH,10.0
TXN00028,ORD00028,PAY00028,SET00028,MATCHED,NONE,0.0
TXN00029,ORD00029,PAY00029,SET00029,EXCEPTION,PARTIAL_SETTLEMENT,88.02
TXN00030,ORD00030,PAY00030,SET00030,MATCHED,NONE,0.0
TXN00031,ORD00031,PAY00031,SET00031,MATCHED,NONE,0.0
TXN00032,ORD00032,PAY00032,SET00032,MATCHED,NONE,0.0
TXN00033,ORD00033,PAY00033,SET00033,MATCHED,NONE,0.0
TXN00034,ORD00034,PAY00034,SET00034,EXCEPTION,AMOUNT_MISMATCH,500.0
TXN00035,ORD00035,PAY00035,SET00035|SET00035_DUP,EXCEPTION,DUPLICATE_SETTLEMENT,7857.42
TXN00036,ORD00036,PAY00036,SET00036,MATCHED,NONE,0.0
TXN00037,ORD00037,PAY00037,SET00037,MATCHED,NONE,0.0
TXN00038,ORD00038,PAY00038,SET00038,MATCHED,NONE,0.0
TXN00039,ORD00039,PAY00039|PAY00039_DUP,SET00039,EXCEPTION,DUPLICATE_PAYMENT,299.0
TXN00040,ORD00040,PAY00040,SET00040,MATCHED,NONE,0.0
TXN00041,ORD00041,PAY00041,SET00041,MATCHED,NONE,0.0
TXN00042,ORD00042,PAY00042,SET00042,MATCHED,NONE,0.0
TXN00043,ORD00043,PAY00043,SET00043,MATCHED,NONE,0.0
TXN00044,ORD00044,PAY00044,SET00044,MATCHED,NONE,0.0
TXN00045,ORD00045,PAY00045,SET00045,MATCHED,NONE,0.0
TXN00046,ORD00046,PAY00046,SET00046,MATCHED,NONE,0.0
TXN00047,ORD00047,PAY00047,SET00047,MATCHED,NONE,0.0
TXN00048,ORD00048,PAY00048,SET00048,MATCHED,NONE,0.0
TXN00049,ORD00049,PAY00049,SET00049,MATCHED,NONE,0.0
TXN00050,ORD00050,PAY00050,SET00050,EXCEPTION,AMOUNT_MISMATCH,981.32
TXN00051,ORD00051,PAY00051|PAY00051_PART2,SET00051,EXCEPTION,MULTIPLE_PAYMENTS,2399.7
TXN00052,ORD00052,PAY00052,SET00052,MATCHED,NONE,0.0
TXN00053,ORD00053,PAY00053,SET00053,MATCHED,NONE,0.0
TXN00054,ORD00054,,SET00054,EXCEPTION,MISSING_PAYMENT,1999.0
TXN00055,ORD00055,PAY00055,SET00055,MATCHED,NONE,0.0
TXN00056,ORD00056,PAY00056,SET00056,MATCHED,NONE,0.0
TXN00057,ORD00057,,SET00057,EXCEPTION,MISSING_PAYMENT,5999.0
TXN00058,ORD00058,PAY00058,SET00058,MATCHED,NONE,0.0
TXN00059,ORD00059,PAY00059,SET00059,MATCHED,NONE,0.0
TXN00060,ORD00060,PAY00060,SET00060,MATCHED,NONE,0.0
TXN00061,ORD00061,PAY00061,SET00061,MATCHED,NONE,0.0
TXN00062,ORD00062,PAY00062,SET00062,MATCHED,NONE,0.0
TXN00063,ORD00063,PAY00063,SET00063,MATCHED,NONE,0.0
TXN00064,ORD00064,PAY00064,SET00064,MATCHED,NONE,0.0
TXN00065,ORD00065,PAY00065,SET00065,MATCHED,NONE,0.0
TXN00066,ORD00066,PAY00066,SET00066,MATCHED,NONE,0.0
TXN00067,ORD00067,PAY00067,SET00067,EXCEPTION,REFUND,374.75
TXN00068,ORD00068,PAY00068,SET00068,MATCHED,NONE,0.0
TXN00069,ORD00069,PAY00069,SET00069,MATCHED,NONE,0.0
TXN00070,ORD00070,PAY00070,SET00070,MATCHED,NONE,0.0
TXN00071,ORD00071,PAY00071,SET00071,MATCHED,NONE,0.0
TXN00072,ORD00072,PAY00072,SET00072,MATCHED,NONE,0.0
TXN00073,ORD00073,PAY00073,SET00073,MATCHED,NONE,0.0
TXN00074,ORD00074,PAY00074,SET00074,MATCHED,NONE,0.0
TXN00075,ORD00075,PAY00075,SET00075,MATCHED,NONE,0.0
TXN00076,ORD00076,PAY00076,SET00076,MATCHED,NONE,0.0
TXN00077,ORD00077,PAY00077|PAY00077_DUP,SET00077,EXCEPTION,DUPLICATE_PAYMENT,299.0
TXN00078,ORD00078,PAY00078,SET00078,MATCHED,NONE,0.0
TXN00079,ORD00079,PAY00079,SET00079,MATCHED,NONE,0.0
