transaction_id,order_id,customer_id,merchant_id,order_date,order_amount,currency,payment_method
TXN00001,ORD00001,CUST0058,MERCHANT_001,2026-03-12,799,INR,CARD
TXN00002,ORD00002,CUST0072,MERCHANT_001,2026-06-23,5999,INR,UPI
TXN00003,ORD00003,CUST0217,MERCHANT_001,2026-01-08,299,INR,CARD
TXN00004,ORD00004,CUST0120,MERCHANT_005,2026-06-04,199,INR,CARD
TXN00005,ORD00005,CUST0280,MERCHANT_004,2026-02-26,2499,INR,NETBANKING
TXN00006,ORD00006,CUST0004,MERCHANT_002,2026-06-28,1999,INR,NETBANKING
TXN00007,ORD00007,CUST0143,MERCHANT_002,2026-02-25,7999,INR,NETBANKING
TXN00008,ORD00008,CUST0053,MERCHANT_001,2026-04-08,299,INR,NETBANKING
TXN00009,ORD00009,CUST0177,MERCHANT_005,2026-03-09,7999,INR,UPI
TXN00010,ORD00010,CUST0236,MERCHANT_005,2026-02-01,1999,INR,UPI
TXN00011,ORD00011,CUST0283,MERCHANT_003,2026-06-10,3999,INR,NETBANKING
TXN00012,ORD00012,CUST0296,MERCHANT_002,2026-06-30,299,INR,UPI
TXN00013,ORD00013,CUST0117,MERCHANT_003,2026-01-21,9999,INR,CARD
TXN00014,ORD00014,CUST0052,MERCHANT_004,2026-03-13,2499,INR,NETBANKING
TXN00015,ORD00015,CUST0084,MERCHANT_003,2026-04-01,799,INR,NETBANKING
TXN00016,ORD00016,CUST0037,MERCHANT_005,2026-06-12,499,INR,CARD
TXN00017,ORD00017,CUST0084,MERCHANT_004,2026-04-08,999,INR,CARD
TXN00018,ORD00018,CUST0167,MERCHANT_001,2026-02-28,9999,INR,UPI
TXN00019,ORD00019,CUST0162,MERCHANT_004,2026-03-10,299,INR,CARD
TXN00020,ORD00020,CUST0291,MERCHANT_003,2026-02-24,4999,INR,WALLET
TXN00021,ORD00021,CUST0203,MERCHANT_004,2026-02-06,999,INR,CARD
TXN00022,ORD00022,CUST0127,MERCHANT_005,2026-05-18,999,INR,WALLET
TXN00023,ORD00023,CUST0299,MERCHANT_004,2026-04-03,799,INR,CARD
TXN00024,ORD00024,CUST0261,MERCHANT_004,2026-01-24,7999,INR,UPI
TXN00025,ORD00025,CUST0057,MERCHANT_002,2026-06-10,499,INR,WALLET
TXN00026,ORD00026,CUST0033,MERCHANT_004,2026-04-08,3999,INR,WALLET
TXN00027,ORD00027,CUST0271,MERCHANT_003,2026-05-22,9999,INR,UPI
TXN00028,ORD00028,CUST0059,MERCHANT_005,2026-03-10,7999,INR,NETBANKING
TXN00029,ORD00029,CUST0058,MERCHANT_003,2026-04-22,499,INR,WALLET
TXN00030,ORD00030,CUST0002,MERCHANT_003,2026-05-09,7999,INR,CARD
TXN00031,ORD00031,CUST0260,MERCHANT_001,2026-06-10,999,INR,CARD
TXN00032,ORD00032,CUST0079,MERCHANT_003,2026-02-11,2999,INR,UPI
TXN00033,ORD00033,CUST0166,MERCHANT_004,2026-01-05,299,INR,NETBANKING
TXN00034,ORD00034,CUST0158,MERCHANT_002,2026-01-15,799,INR,UPI
TXN00035,ORD00035,CUST0044,MERCHANT_004,2026-01-18,7999,INR,CARD
TXN00036,ORD00036,CUST0066,MERCHANT_004,2026-05-21,499,INR,NETBANKING
TXN00037,ORD00037,CUST0271,MERCHANT_005,2026-04-19,799,INR,CARD
TXN00038,ORD00038,CUST0160,MERCHANT_004,2026-06-21,4999,INR,NETBANKING
TXN00039,ORD00039,CUST0225,MERCHANT_005,2026-04-26,299,INR,CARD
TXN00040,ORD00040,CUST0116,MERCHANT_001,2026-03-28,199,INR,CARD
TXN00041,ORD00041,CUST0113,MERCHANT_001,2026-01-19,5999,INR,UPI
TXN00042,ORD00042,CUST0118,MERCHANT_001,2026-01-09,9999,INR,NETBANKING
TXN00043,ORD00043,CUST0037,MERCHANT_005,2026-03-02,999,INR,WALLET
TXN00044,ORD00044,CUST0110,MERCHANT_005,2026-02-03,5999,INR,WALLET
TXN00045,ORD00045,CUST0125,MERCHANT_004,2026-04-15,799,INR,UPI
TXN00046,ORD00046,CUST0050,MERCHANT_004,2026-04-01,1999,INR,WALLET
TXN00047,ORD00047,CUST0240,MERCHANT_001,2026-06-22,4999,INR,UPI
TXN00048,ORD00048,CUST0032,MERCHANT_004,2026-03-28,7999,INR,UPI
TXN00049,ORD00049,CUST0128,MERCHANT_002,2026-02-18,2999,INR,WALLET
TXN00050,ORD00050,CUST0072,MERCHANT_004,2026-02-16,999,INR,WALLET
TXN00051,ORD00051,CUST0128,MERCHANT_001,2026-04-24,7999,INR,UPI
TXN00052,ORD00052,CUST0026,MERCHANT_005,2026-01-04,299,INR,CARD
TXN00053,ORD00053,CUST0086,MERCHANT_004,2026-05-05,2499,INR,CARD
TXN00054,ORD00054,CUST0206,MERCHANT_001,2026-02-12,1999,INR,UPI
TXN00055,ORD00055,CUST0200,MERCHANT_003,2026-04-27,999,INR,WALLET
TXN00056,ORD00056,CUST0285,MERCHANT_004,2026-02-09,799,INR,NETBANKING
TXN00057,ORD00057,CUST0112,MERCHANT_001,2026-05-29,5999,INR,UPI
TXN00058,ORD00058,CUST0161,MERCHANT_001,2026-01-13,3999,INR,WALLET
TXN00059,ORD00059,CUST0258,MERCHANT_005,2026-02-10,199,INR,UPI
TXN00060,ORD00060,CUST0096,MERCHANT_001,2026-06-02,299,INR,CARD
TXN00061,ORD00061,CUST0207,MERCHANT_001,2026-05-26,799,INR,UPI
TXN00062,ORD00062,CUST0042,MERCHANT_004,2026-06-18,3999,INR,NETBANKING
TXN00063,ORD00063,CUST0134,MERCHANT_002,2026-06-21,5999,INR,NETBANKING
TXN00064,ORD00064,CUST0123,MERCHANT_003,2026-04-12,499,INR,NETBANKING
TXN00065,ORD00065,CUST0235,MERCHANT_003,2026-01-19,199,INR,WALLET
TXN00066,ORD00066,CUST0289,MERCHANT_001,2026-01-19,2999,INR,CARD
TXN00067,ORD00067,CUST0260,MERCHANT_003,2026-02-03,1499,INR,UPI
TXN00068,ORD00068,CUST0126,MERCHANT_003,2026-03-14,499,INR,WALLET
TXN00069,ORD00069,CUST0279,MERCHANT_003,2026-06-06,7999,INR,UPI
TXN00070,ORD00070,CUST0284,MERCHANT_003,2026-06-19,299,INR,CARD
TXN00071,ORD00071,CUST0136,MERCHANT_001,2026-01-28,5999,INR,CARD
TXN00072,ORD00072,CUST0140,MERCHANT_003,2026-06-04,799,INR,NETBANKING
TXN00073,ORD00073,CUST0105,MERCHANT_003,2026-05-10,2499,INR,NETBANKING
TXN00074,ORD00074,CUST0027,MERCHANT_001,2026-06-12,1999,INR,NETBANKING
TXN00075,ORD00075,CUST0023,MERCHANT_001,2026-03-27,7999,INR,CARD
TXN00076,ORD00076,CUST0135,MERCHANT_002,2026-04-24,2999,INR,WALLET
TXN00077,ORD00077,CUST0288,MERCHANT_001,2026-01-29,299,INR,CARD
TXN00078,ORD00078,CUST0280,MERCHANT_001,2026-04-05,3999,INR,CARD
TXN00079,ORD00079,CUST0221,MERCHANT_002,2026-01-11,999,INR,NETBANKING
TXN00080,ORD00080,CUST0021,MERCHANT_003,2026-02-23,4999,INR,CARD
TXN00081,ORD00081,CUST0053,MERCHANT_003,2026-05-24,9999,INR,WALLET
TXN00082,ORD00082,CUST0080,MERCHANT_002,2026-02-11,7999,INR,CARD
TXN00083,ORD00083,CUST0212,MERCHANT_001,2026-02-15,5999,INR,NETBANKING
TXN00084,ORD00084,CUST0211,MERCHANT_002,2026-03-10,499,INR,UPI
TXN00085,ORD00085,CUST0196,MERCHANT_001,2026-05-01,799,INR,CARD
TXN00086,ORD00086,CUST0236,MERCHANT_003,2026-03-20,9999,INR,CARD
TXN00087,ORD00087,CUST0115,MERCHANT_001,2026-06-18,799,INR,WALLET
TXN00088,ORD00088,CUST0169,MERCHANT_003,2026-01-18,7999,INR,NETBANKING
TXN00089,ORD00089,CUST0180,MERCHANT_005,2026-04-13,4999,INR,NETBANKING
TXN00090,ORD00090,CUST0015,MERCHANT_001,2026-03-08,499,INR,NETBANKING
TXN00091,ORD00091,CUST0020,MERCHANT_001,2026-06-02,1999,INR,NETBANKING
TXN00092,ORD00092,CUST0161,MERCHANT_004,2026-06-05,2999,INR,UPI
TXN00093,ORD00093,CUST0198,MERCHANT_005,2026-02-18,999,INR,UPI
TXN00094,ORD00094,CUST0224,MERCHANT_001,2026-05-14,7999,INR,CARD
TXN00095,ORD00095,CUST0187,MERCHANT_004,2026-01-18,4999,INR,NETBANKING
TXN00096,ORD00096,CUST0161,MERCHANT_001,2026-03-18,2999,INR,NETBANKING
TXN00097,ORD00097,CUST0210,MERCHANT_003,2026-04-14,5999,INR,NETBANKING
TXN00098,ORD00098,CUST0284,MERCHANT_002,2026-02-19,1999,INR,WALLET
TXN00099,ORD00099,CUST0090,MERCHANT_005,2026-05-26,999,INR,WALLET
TXN00100,ORD00100,CUST0281,MERCHANT_001,2026-03-19,999,INR,CARD
TXN00101,ORD00101,CUST0221,MERCHANT_005,2026-06-05,4999,INR,NETBANKING
TXN00102,ORD00102,CUST0239,MERCHANT_004,2026-04-24,4999,INR,CARD
TXN00103,ORD00103,CUST0262,MERCHANT_004,2026-02-13,4999,INR,UPI
TXN00104,ORD00104,CUST0146,MERCHANT_005,2026-06-19,4999,INR,NETBANKING
TXN00105,ORD00105,CUST0048,MERCHANT_002,2026-06-22,999,INR,CARD
TXN00106,ORD00106,CUST0102,MERCHANT_002,2026-01-07,199,INR,CARD
TXN00107,ORD00107,CUST0244,MERCHANT_005,2026-01-19,2499,INR,WALLET
TXN00108,ORD00108,CUST0295,MERCHANT_002,2026-06-28,1999,INR,WALLET
TXN00109,ORD00109,CUST0205,MERCHANT_002,2026-02-07,4999,INR,UPI
TXN00110,ORD00110,CUST0055,MERCHANT_004,2026-02-26,499,INR,WALLET
TXN00111,ORD00111,CUST0026,MERCHANT_005,2026-03-05,9999,INR,UPI
TXN00112,ORD00112,CUST0234,MERCHANT_002,2026-04-29,4999,INR,NETBANKING
TXN00113,ORD00113,CUST0227,MERCHANT_005,2026-05-10,1999,INR,WALLET
TXN00114,ORD00114,CUST0082,MERCHANT_004,2026-04-26,999,INR,CARD
TXN00115,ORD00115,CUST0142,MERCHANT_005,2026-05-05,4999,INR,CARD
TXN00116,ORD00116,CUST0141,MERCHANT_004,2026-01-20,5999,INR,NETBANKING
TXN00117,ORD00117,CUST0121,MERCHANT_003,2026-03-27,1499,INR,UPI
TXN00118,ORD00118,CUST0071,MERCHANT_002,2026-03-01,1999,INR,CARD
TXN00119,ORD00119,CUST0110,MERCHANT_001,2026-04-17,1999,INR,NETBANKING
TXN00120,ORD00120,CUST0278,MERCHANT_004,2026-04-17,199,INR,CARD
TXN00121,ORD00121,CUST0216,MERCHANT_004,2026-05-30,5999,INR,UPI
TXN00122,ORD00122,CUST0295,MERCHANT_004,2026-05-03,199,INR,NETBANKING
TXN00123,ORD00123,CUST0153,MERCHANT_004,2026-04-18,2999,INR,CARD
TXN00124,ORD00124,CUST0250,MERCHANT_002,2026-03-11,1999,INR,WALLET
TXN00125,ORD00125,CUST0015,MERCHANT_004,2026-03-28,4999,INR,WALLET
TXN00126,ORD00126,CUST0085,MERCHANT_004,2026-02-02,3999,INR,UPI
TXN00127,ORD00127,CUST0202,MERCHANT_005,2026-05-25,4999,INR,UPI
TXN00128,ORD00128,CUST0043,MERCHANT_004,2026-02-04,9999,INR,WALLET
TXN00129,ORD00129,CUST0094,MERCHANT_001,2026-03-08,1999,INR,NETBANKING
TXN00130,ORD00130,CUST0109,MERCHANT_004,2026-03-25,1499,INR,WALLET
TXN00131,ORD00131,CUST0143,MERCHANT_004,2026-03-06,9999,INR,UPI
TXN00132,ORD00132,CUST0241,MERCHANT_001,2026-05-19,199,INR,NETBANKING
TXN00133,ORD00133,CUST0115,MERCHANT_001,2026-06-16,199,INR,UPI
TXN00134,ORD00134,CUST0127,MERCHANT_002,2026-01-06,3999,INR,CARD
TXN00135,ORD00135,CUST0123,MERCHANT_002,2026-05-02,4999,INR,UPI
TXN00136,ORD00136,CUST0289,MERCHANT_002,2026-04-30,5999,INR,NETBANKING
TXN00137,ORD00137,CUST0189,MERCHANT_002,2026-06-05,3999,INR,UPI
TXN00138,ORD00138,CUST0084,MERCHANT_003,2026-01-28,3999,INR,UPI
TXN00139,ORD00139,CUST0160,MERCHANT_005,2026-06-23,1999,INR,WALLET
TXN00140,ORD00140,CUST0102,MERCHANT_001,2026-06-01,5999,INR,CARD
TXN00141,ORD00141,CUST0053,MERCHANT_003,2026-06-25,3999,INR,UPI
TXN00142,ORD00142,CUST0290,MERCHANT_001,2026-03-30,2999,INR,WALLET
TXN00143,ORD00143,CUST0190,MERCHANT_001,2026-05-10,4999,INR,NETBANKING
TXN00144,ORD00144,CUST0007,MERCHANT_004,2026-05-06,299,INR,WALLET
TXN00145,ORD00145,CUST0186,MERCHANT_004,2026-02-09,1999,INR,CARD
TXN00146,ORD00146,CUST0268,MERCHANT_003,2026-06-07,7999,INR,WALLET
TXN00147,ORD00147,CUST0239,MERCHANT_004,2026-06-01,999,INR,NETBANKING
TXN00148,ORD00148,CUST0126,MERCHANT_001,2026-03-13,2499,INR,CARD
TXN00149,ORD00149,CUST0238,MERCHANT_005,2026-06-06,4999,INR,WALLET
TXN00150,ORD00150,CUST0173,MERCHANT_001,2026-05-07,9999,INR,NETBANKING
TXN00151,ORD00151,CUST0094,MERCHANT_004,2026-02-24,1499,INR,NETBANKING
TXN00152,ORD00152,CUST0175,MERCHANT_003,2026-06-02,5999,INR,NETBANKING
TXN00153,ORD00153,CUST0285,MERCHANT_001,2026-05-13,799,INR,UPI
TXN00154,ORD00154,CUST0124,MERCHANT_004,2026-05-06,2999,INR,CARD
TXN00155,ORD00155,CUST0244,MERCHANT_004,2026-04-25,7999,INR,UPI
TXN00156,ORD00156,CUST0048,MERCHANT_003,2026-02-26,1999,INR,CARD
TXN00157,ORD00157,CUST0157,MERCHANT_005,2026-04-05,2499,INR,NETBANKING
TXN00158,ORD00158,CUST0218,MERCHANT_005,2026-03-26,1499,INR,WALLET
TXN00159,ORD00159,CUST0139,MERCHANT_003,2026-03-06,799,INR,UPI
TXN00160,ORD00160,CUST0099,MERCHANT_003,2026-01-31,5999,INR,CARD
TXN00161,ORD00161,CUST0099,MERCHANT_002,2026-05-04,999,INR,NETBANKING
TXN00162,ORD00162,CUST0052,MERCHANT_002,2026-03-17,799,INR,NETBANKING
TXN00163,ORD00163,CUST0092,MERCHANT_003,2026-01-04,5999,INR,CARD
TXN00164,ORD00164,CUST0141,MERCHANT_001,2026-01-14,2999,INR,NETBANKING
TXN00165,ORD00165,CUST0065,MERCHANT_004,2026-01-27,9999,INR,UPI
TXN00166,ORD00166,CUST0294,MERCHANT_003,2026-05-01,2499,INR,WALLET
TXN00167,ORD00167,CUST0175,MERCHANT_002,2026-01-14,999,INR,WALLET
TXN00168,ORD00168,CUST0059,MERCHANT_001,2026-04-13,2499,INR,UPI
TXN00169,ORD00169,CUST0296,MERCHANT_001,2026-02-08,499,INR,NETBANKING
TXN00170,ORD00170,CUST0044,MERCHANT_002,2026-01-31,2999,INR,WALLET
TXN00171,ORD00171,CUST0116,MERCHANT_005,2026-04-08,2499,INR,WALLET
TXN00172,ORD00172,CUST0153,MERCHANT_005,2026-04-20,999,INR,UPI
TXN00173,ORD00173,CUST0051,MERCHANT_002,2026-06-10,799,INR,NETBANKING
TXN00174,ORD00174,CUST0042,MERCHANT_002,2026-03-03,499,INR,UPI
TXN00175,ORD00175,CUST0081,MERCHANT_001,2026-04-15,2499,INR,WALLET
TXN00176,ORD00176,CUST0150,MERCHANT_001,2026-03-01,999,INR,NETBANKING
TXN00177,ORD00177,CUST0233,MERCHANT_001,2026-06-25,799,INR,NETBANKING
TXN00178,ORD00178,CUST0102,MERCHANT_004,2026-01-30,2999,INR,CARD
TXN00179,ORD00179,CUST0077,MERCHANT_003,2026-02-06,299,INR,UPI
TXN00180,ORD00180,CUST0085,MERCHANT_003,2026-06-02,5999,INR,NETBANKING
TXN00181,ORD00181,CUST0225,MERCHANT_001,2026-04-30,5999,INR,NETBANKING
TXN00182,ORD00182,CUST0207,MERCHANT_003,2026-05-09,2999,INR,WALLET
TXN00183,ORD00183,CUST0225,MERCHANT_001,2026-06-03,199,INR,WALLET
TXN00184,ORD00184,CUST0166,MERCHANT_005,2026-03-06,199,INR,UPI
TXN00185,ORD00185,CUST0118,MERCHANT_005,2026-05-31,199,INR,NETBANKING
TXN00186,ORD00186,CUST0296,MERCHANT_001,2026-02-14,2499,INR,WALLET
TXN00187,ORD00187,CUST0143,MERCHANT_002,2026-05-30,1999,INR,WALLET
TXN00188,ORD00188,CUST0047,MERCHANT_004,2026-03-31,1999,INR,NETBANKING
TXN00189,ORD00189,CUST0165,MERCHANT_001,2026-02-11,1499,INR,WALLET
TXN00190,ORD00190,CUST0254,MERCHANT_003,2026-06-19,1999,INR,UPI
TXN00191,ORD00191,CUST0233,MERCHANT_001,2026-03-22,999,INR,NETBANKING
TXN00192,ORD00192,CUST0060,MERCHANT_004,2026-05-12,9999,INR,UPI
TXN00193,ORD00193,CUST0278,MERCHANT_004,2026-04-16,199,INR,CARD
TXN00194,ORD00194,CUST0266,MERCHANT_003,2026-06-09,7999,INR,WALLET
TXN00195,ORD00195,CUST0227,MERCHANT_001,2026-02-22,999,INR,CARD
TXN00196,ORD00196,CUST0148,MERCHANT_004,2026-06-28,2499,INR,UPI
TXN00197,ORD00197,CUST0015,MERCHANT_005,2026-03-03,5999,INR,CARD
TXN00198,ORD00198,CUST0160,MERCHANT_005,2026-01-04,2999,INR,WALLET
TXN00199,ORD00199,CUST0048,MERCHANT_002,2026-01-30,2499,INR,UPI
TXN00200,ORD00200,CUST0079,MERCHANT_004,2026-03-16,2999,INR,NETBANKING
TXN00201,ORD00201,CUST0213,MERCHANT_004,2026-05-01,799,INR,WALLET
TXN00202,ORD00202,CUST0283,MERCHANT_002,2026-04-09,799,INR,CARD
TXN00203,ORD00203,CUST0036,MERCHANT_003,2026-04-17,1499,INR,NETBANKING
TXN00204,ORD00204,CUST0002,MERCHANT_003,2026-03-18,9999,INR,WALLET
TXN00205,ORD00205,CUST0077,MERCHANT_004,2026-05-18,2499,INR,NETBANKING
TXN00206,ORD00206,CUST0171,MERCHANT_005,2026-05-20,1999,INR,WALLET
TXN00207,ORD00207,CUST0165,MERCHANT_002,2026-06-28,799,INR,WALLET
