settlement_id,transaction_id,merchant_id,settlement_date,gross_amount,fee,tax,adjustment,refund,chargeback,net_amount,settlement_status,settlement_reference,currency
SET00001,TXN00001,MERCHANT_001,2026-03-15,799.0,7.99,1.44,0.0,0.0,0.0,789.57,SETTLED,SET00001,INR
SET00003,TXN00003,MERCHANT_001,2026-01-09,299.0,3.59,0.65,0.0,0.0,0.0,294.76,SETTLED,SET00003,INR
SET00004,TXN00004,MERCHANT_005,2026-06-05,199.0,1.99,0.36,0.0,0.0,0.0,196.65,SETTLED,SET00004,INR
SET00005,TXN00005,MERCHANT_004,2026-03-01,2499.0,49.98,9.0,0.0,0.0,0.0,2440.02,SETTLED,SET00005,INR
SET00006,TXN00006,MERCHANT_002,2026-06-29,1999.0,39.98,7.2,0.0,0.0,0.0,1951.82,SETTLED,SET00006,INR
SET00007,TXN00007,MERCHANT_002,2026-02-27,7999.0,79.99,14.4,0.0,0.0,0.0,7904.61,SETTLED,SET00007,INR
SET00008,TXN00008,MERCHANT_001,2026-04-09,299.0,2.99,0.54,0.0,0.0,0.0,295.47,SETTLED,SET00008,INR
SET00009,TXN00009,MERCHANT_005,2026-03-10,7999.0,95.99,17.28,0.0,0.0,0.0,7885.73,SETTLED,SET00009,INR
SET00010,TXN00010,MERCHANT_005,2026-02-03,1999.0,39.98,7.2,0.0,0.0,0.0,1951.82,SETTLED,SET00010,INR
SET00011,TXN00011,MERCHANT_003,2026-06-11,3999.0,79.98,14.4,0.0,0.0,0.0,3904.62,SETTLED,SET00011,INR
SET00012,TXN00012,MERCHANT_002,2026-07-01,299.0,5.98,1.08,0.0,0.0,0.0,291.94,SETTLED,SET00012,INR
SET00013,TXN00013,MERCHANT_003,2026-01-23,9999.0,119.99,21.6,0.0,0.0,0.0,9857.41,SETTLED,SET00013,INR
SET00014,TXN00014,MERCHANT_004,2026-03-15,2499.0,49.98,9.0,0.0,0.0,0.0,2440.02,SETTLED,SET00014,INR
SET00015,TXN00015,MERCHANT_003,2026-04-02,799.0,7.99,1.44,0.0,0.0,0.0,789.57,SETTLED,SET00015,INR
SET00016,TXN00016,MERCHANT_005,2026-06-13,499.0,8.98,1.62,0.0,0.0,0.0,488.4,SETTLED,SET00016,INR
SET00018,TXN00018,MERCHANT_001,2026-03-01,9999.0,119.99,21.6,0.0,0.0,0.0,9857.41,SETTLED,SET00018,INR
SET00020,TXN00020,MERCHANT_003,2026-02-25,4999.0,89.98,16.2,0.0,0.0,0.0,4892.82,SETTLED,SET00020,INR
SET00021,TXN00021,MERCHANT_004,2026-02-07,999.0,14.98,2.7,0.0,0.0,0.0,981.32,SETTLED,SET00021,INR
SET00022,TXN00022,MERCHANT_005,2026-05-19,999.0,19.98,3.6,0.0,0.0,0.0,975.42,SETTLED,SET00022,INR
SET00023,TXN00023,MERCHANT_004,2026-04-04,799.0,7.99,1.44,0.0,0.0,0.0,789.57,SETTLED,SET00023,INR
SET00024,TXN00024,MERCHANT_004,2026-01-27,7999.0,143.98,25.92,0.0,0.0,0.0,7829.1,SETTLED,SET00024,INR
SET00025,TXN00025,MERCHANT_002,2026-06-12,499.0,4.99,0.9,0.0,0.0,0.0,493.11,SETTLED,SET00025,INR
SET00026,TXN00026,MERCHANT_004,2026-04-10,3999.0,39.99,7.2,0.0,0.0,0.0,3951.81,SETTLED,SET00026,INR
SET00027,TXN00027,MERCHANT_003,2026-05-24,9999.0,149.98,27.0,0.0,0.0,0.0,9822.02,SETTLED,SET00027,INR
SET00028,TXN00028,MERCHANT_005,2026-03-13,7999.0,159.98,28.8,0.0,0.0,0.0,7810.22,SETTLED,SET00028,INR
SET00029,TXN00029,MERCHANT_003,2026-04-23,499.0,9.98,1.8,0.0,0.0,0.0,399.2,SETTLED,SET00029,INR
SET00030,TXN00030,MERCHANT_003,2026-05-10,7999.0,79.99,14.4,0.0,0.0,0.0,7904.61,SETTLED,SET00030,INR
SET00031,TXN00031,MERCHANT_001,2026-06-11,999.0,11.99,2.16,0.0,0.0,0.0,984.85,SETTLED,SET00031,INR
SET00032,TXN00032,MERCHANT_003,2026-02-12,2999.0,29.99,5.4,0.0,0.0,0.0,2963.61,SETTLED,SET00032,INR
SET00033,TXN00033,MERCHANT_004,2026-01-06,299.0,2.99,0.54,0.0,0.0,0.0,295.47,SETTLED,SET00033,INR
SET00034,TXN00034,MERCHANT_002,2026-01-17,799.0,11.98,2.16,0.0,0.0,0.0,284.86,SETTLED,SET00034,INR
SET00035,TXN00035,MERCHANT_004,2026-01-20,7999.0,119.98,21.6,0.0,0.0,0.0,7857.42,SETTLED,SET00035,INR
SET00036,TXN00036,MERCHANT_004,2026-05-22,499.0,7.48,1.35,0.0,0.0,0.0,490.17,SETTLED,SET00036,INR
SET00037,TXN00037,MERCHANT_005,2026-04-20,799.0,9.59,1.73,0.0,0.0,0.0,787.68,SETTLED,SET00037,INR
SET00038,TXN00038,MERCHANT_004,2026-06-24,4999.0,74.98,13.5,0.0,0.0,0.0,4910.52,SETTLED,SET00038,INR
SET00039,TXN00039,MERCHANT_005,2026-04-29,299.0,2.99,0.54,0.0,0.0,0.0,295.47,SETTLED,SET00039,INR
SET00040,TXN00040,MERCHANT_001,2026-03-30,199.0,2.39,0.43,0.0,0.0,0.0,196.18,SETTLED,SET00040,INR
SET00041,TXN00041,MERCHANT_001,2026-01-21,5999.0,71.99,12.96,0.0,0.0,0.0,5914.05,SETTLED,SET00041,INR
SET00042,TXN00042,MERCHANT_001,2026-01-10,9999.0,179.98,32.4,0.0,0.0,0.0,9786.62,SETTLED,SET00042,INR
SET00043,TXN00043,MERCHANT_005,2026-03-04,999.0,14.98,2.7,0.0,0.0,0.0,981.32,SETTLED,SET00043,INR
SET00044,TXN00044,MERCHANT_005,2026-02-06,5999.0,119.98,21.6,0.0,0.0,0.0,5857.42,SETTLED,SET00044,INR
SET00045,TXN00045,MERCHANT_004,2026-04-16,799.0,11.98,2.16,0.0,0.0,0.0,784.86,SETTLED,SET00045,INR
SET00046,TXN00046,MERCHANT_004,2026-04-02,1999.0,23.99,4.32,0.0,0.0,0.0,1970.69,SETTLED,SET00046,INR
SET00047,TXN00047,MERCHANT_001,2026-06-23,4999.0,74.98,13.5,0.0,0.0,0.0,4910.52,SETTLED,SET00047,INR
SET00048,TXN00048,MERCHANT_004,2026-03-30,7999.0,119.98,21.6,0.0,0.0,0.0,7857.42,SETTLED,SET00048,INR
SET00049,TXN00049,MERCHANT_002,2026-02-19,2999.0,35.99,6.48,0.0,0.0,0.0,2956.53,SETTLED,SET00049,INR
SET00050,TXN00050,MERCHANT_004,2026-02-18,999.0,14.98,2.7,0.0,0.0,0.0,0.0,SETTLED,SET00050,INR
SET00051,TXN00051,MERCHANT_001,2026-04-25,7999.0,143.98,25.92,0.0,0.0,0.0,7829.1,SETTLED,SET00051,INR
SET00052,TXN00052,MERCHANT_005,2026-01-06,299.0,5.38,0.97,0.0,0.0,0.0,292.65,SETTLED,SET00052,INR
