metric_type,kpi_name,kpi_value,category,count
KPI,TOTAL_TRANSACTIONS,1000.0,,
KPI,MATCHED_TRANSACTIONS,800.0,,
KPI,EXCEPTION_TRANSACTIONS,200.0,,
KPI,RECONCILIATION_RATE_PERCENT,80.0,,
KPI,EXCEPTION_RATE_PERCENT,20.0,,
KPI,ESCALATED_CASES,170.0,,
KPI,ESCALATION_RATE_PERCENT,17.0,,
KPI,PENDING_REVIEW_CASES,200.0,,
KPI,PENDING_REVIEW_RATE_PERCENT,20.0,,
KPI,HIGH_SEVERITY_EXCEPTIONS,110.0,,
KPI,MEDIUM_SEVERITY_EXCEPTIONS,70.0,,
KPI,LOW_SEVERITY_EXCEPTIONS,20.0,,
KPI,ML_SUPPORTED_EXCEPTIONS,71.0,,
KPI,ML_SUPPORT_RATE_PERCENT,35.5,,
KPI,ML_DISAGREEMENTS,9.0,,
KPI,ML_DISAGREEMENT_RATE_PERCENT,4.5,,
KPI,ML_CONFIRMED_RULE_MATCHES,120.0,,
DISTRIBUTION,,,AMOUNT_MISMATCH,30
DISTRIBUTION,,,CHARGEBACK,10
DISTRIBUTION,,,DATE_MISMATCH,10
DISTRIBUTION,,,DUPLICATE_PAYMENT,15
DISTRIBUTION,,,DUPLICATE_SETTLEMENT,10
DISTRIBUTION,,,FAILED_PAYMENT,15
DISTRIBUTION,,,INCORRECT_FEE,10
DISTRIBUTION,,,MISSING_PAYMENT,20
DISTRIBUTION,,,MISSING_SETTLEMENT,20
DISTRIBUTION,,,MULTIPLE_PAYMENTS,5
DISTRIBUTION,,,PARTIAL_SETTLEMENT,15
DISTRIBUTION,,,REFUND,15
DISTRIBUTION,,,SETTLEMENT_DELAY,10
DISTRIBUTION,,,UNKNOWN_ADJUSTMENT,5
DISTRIBUTION,,,WRONG_TRANSACTION_REFERENCE,10
DISTRIBUTION,,,HIGH,110
DISTRIBUTION,,,LOW,20
DISTRIBUTION,,,MEDIUM,70
DISTRIBUTION,,,RULE_CONFIRMED_BY_ML,120
DISTRIBUTION,,,RULE_EXCEPTION_ML_DISAGREEMENT,9
DISTRIBUTION,,,RULE_EXCEPTION_ML_SUPPORT,71
DISTRIBUTION,,,RULE_MATCHED,800
DISTRIBUTION,,,DATE_REVIEW,10
DISTRIBUTION,,,ESCALATE_FOR_REVIEW,170
DISTRIBUTION,,,FEE_REVIEW,10
DISTRIBUTION,,,SETTLEMENT_REVIEW,10
DISTRIBUTION,,,NO,30
DISTRIBUTION,,,YES,170
