transaction_id,status,exception_type,true_status,true_exception_type
TXN00001,MATCHED,MATCHED,MATCHED,NONE
TXN00002,EXCEPTION,MISSING_SETTLEMENT,EXCEPTION,MISSING_SETTLEMENT
TXN00003,MATCHED,MATCHED,MATCHED,NONE
TXN00004,MATCHED,MATCHED,MATCHED,NONE
TXN00005,MATCHED,MATCHED,MATCHED,NONE
TXN00006,MATCHED,MATCHED,MATCHED,NONE
TXN00007,MATCHED,MATCHED,MATCHED,NONE
TXN00008,MATCHED,MATCHED,MATCHED,NONE
TXN00009,MATCHED,MATCHED,MATCHED,NONE
TXN00010,MATCHED,MATCHED,MATCHED,NONE
TXN00011,MATCHED,MATCHED,MATCHED,NONE
TXN00012,MATCHED,MATCHED,MATCHED,NONE
TXN00013,MATCHED,MATCHED,MATCHED,NONE
TXN00014,MATCHED,MATCHED,MATCHED,NONE
TXN00015,MATCHED,MATCHED,MATCHED,NONE
TXN00016,MATCHED,MATCHED,MATCHED,NONE
TXN00017,EXCEPTION,MISSING_SETTLEMENT,EXCEPTION,MISSING_SETTLEMENT
TXN00018,MATCHED,MATCHED,MATCHED,NONE
TXN00019,EXCEPTION,MISSING_SETTLEMENT,EXCEPTION,MISSING_SETTLEMENT
TXN00020,MATCHED,MATCHED,MATCHED,NONE
TXN00021,MATCHED,MATCHED,MATCHED,NONE
TXN00022,MATCHED,MATCHED,MATCHED,NONE
TXN00023,MATCHED,MATCHED,MATCHED,NONE
TXN00024,MATCHED,MATCHED,MATCHED,NONE
TXN00025,EXCEPTION,DUPLICATE_SETTLEMENT,EXCEPTION,DUPLICATE_SETTLEMENT
TXN00026,MATCHED,MATCHED,MATCHED,NONE
TXN00027,EXCEPTION,DATE_MISMATCH,EXCEPTION,DATE_MISMATCH
TXN00028,MATCHED,MATCHED,MATCHED,NONE
TXN00029,EXCEPTION,PARTIAL_SETTLEMENT,EXCEPTION,PARTIAL_SETTLEMENT
TXN00030,MATCHED,MATCHED,MATCHED,NONE
TXN00031,MATCHED,MATCHED,MATCHED,NONE
TXN00032,MATCHED,MATCHED,MATCHED,NONE
TXN00033,MATCHED,MATCHED,MATCHED,NONE
TXN00034,EXCEPTION,AMOUNT_MISMATCH,EXCEPTION,AMOUNT_MISMATCH
TXN00035,EXCEPTION,DUPLICATE_SETTLEMENT,EXCEPTION,DUPLICATE_SETTLEMENT
TXN00036,MATCHED,MATCHED,MATCHED,NONE
TXN00037,MATCHED,MATCHED,MATCHED,NONE
TXN00038,MATCHED,MATCHED,MATCHED,NONE
TXN00039,EXCEPTION,DUPLICATE_PAYMENT,EXCEPTION,DUPLICATE_PAYMENT
TXN00040,MATCHED,MATCHED,MATCHED,NONE
TXN00041,MATCHED,MATCHED,MATCHED,NONE
TXN00042,MATCHED,MATCHED,MATCHED,NONE
TXN00043,MATCHED,MATCHED,MATCHED,NONE
TXN00044,MATCHED,MATCHED,MATCHED,NONE
TXN00045,MATCHED,MATCHED,MATCHED,NONE
TXN00046,MATCHED,MATCHED,MATCHED,NONE
TXN00047,MATCHED,MATCHED,MATCHED,NONE
TXN00048,MATCHED,MATCHED,MATCHED,NONE
TXN00049,MATCHED,MATCHED,MATCHED,NONE
TXN00050,EXCEPTION,AMOUNT_MISMATCH,EXCEPTION,AMOUNT_MISMATCH
TXN00051,EXCEPTION,MULTIPLE_PAYMENTS,EXCEPTION,MULTIPLE_PAYMENTS
TXN00052,MATCHED,MATCHED,MATCHED,NONE
TXN00053,MATCHED,MATCHED,MATCHED,NONE
TXN00054,EXCEPTION,MISSING_PAYMENT,EXCEPTION,MISSING_PAYMENT
TXN00055,MATCHED,MATCHED,MATCHED,NONE
TXN00056,MATCHED,MATCHED,MATCHED,NONE
TXN00057,EXCEPTION,MISSING_PAYMENT,EXCEPTION,MISSING_PAYMENT
TXN00058,MATCHED,MATCHED,MATCHED,NONE
TXN00059,MATCHED,MATCHED,MATCHED,NONE
TXN00060,MATCHED,MATCHED,MATCHED,NONE
TXN00061,MATCHED,MATCHED,MATCHED,NONE
TXN00062,MATCHED,MATCHED,MATCHED,NONE
TXN00063,MATCHED,MATCHED,MATCHED,NONE
TXN00064,MATCHED,MATCHED,MATCHED,NONE
TXN00065,MATCHED,MATCHED,MATCHED,NONE
TXN00066,MATCHED,MATCHED,MATCHED,NONE
TXN00067,EXCEPTION,REFUND,EXCEPTION,REFUND
TXN00068,MATCHED,MATCHED,MATCHED,NONE
TXN00069,MATCHED,MATCHED,MATCHED,NONE
TXN00070,MATCHED,MATCHED,MATCHED,NONE
TXN00071,MATCHED,MATCHED,MATCHED,NONE
TXN00072,MATCHED,MATCHED,MATCHED,NONE
TXN00073,MATCHED,MATCHED,MATCHED,NONE
TXN00074,MATCHED,MATCHED,MATCHED,NONE
TXN00075,MATCHED,MATCHED,MATCHED,NONE
TXN00076,MATCHED,MATCHED,MATCHED,NONE
TXN00077,EXCEPTION,DUPLICATE_PAYMENT,EXCEPTION,DUPLICATE_PAYMENT
TXN00078,MATCHED,MATCHED,MATCHED,NONE
TXN00079,MATCHED,MATCHED,MATCHED,NONE
TXN00080,MATCHED,MATCHED,MATCHED,NONE
TXN00081,MATCHED,MATCHED,MATCHED,NONE
TXN00082,MATCHED,MATCHED,MATCHED,NONE
TXN00083,MATCHED,MATCHED,MATCHED,NONE
TXN00084,MATCHED,MATCHED,MATCHED,NONE
TXN00085,MATCHED,MATCHED,MATCHED,NONE
TXN00086,EXCEPTION,AMOUNT_MISMATCH,EXCEPTION,AMOUNT_MISMATCH
TXN00087,MATCHED,MATCHED,MATCHED,NONE
TXN00088,MATCHED,MATCHED,MATCHED,NONE
TXN00089,EXCEPTION,WRONG_TRANSACTION_REFERENCE,EXCEPTION,WRONG_TRANSACTION_REFERENCE
TXN00090,MATCHED,MATCHED,MATCHED,NONE
TXN00091,MATCHED,MATCHED,MATCHED,NONE
TXN00092,MATCHED,MATCHED,MATCHED,NONE
TXN00093,EXCEPTION,INCORRECT_FEE,EXCEPTION,INCORRECT_FEE
TXN00094,MATCHED,MATCHED,MATCHED,NONE
TXN00095,MATCHED,MATCHED,MATCHED,NONE
TXN00096,MATCHED,MATCHED,MATCHED,NONE
TXN00097,MATCHED,MATCHED,MATCHED,NONE
TXN00098,MATCHED,MATCHED,MATCHED,NONE
TXN00099,MATCHED,MATCHED,MATCHED,NONE
TXN00100,MATCHED,MATCHED,MATCHED,NONE
TXN00101,MATCHED,MATCHED,MATCHED,NONE
TXN00102,MATCHED,MATCHED,MATCHED,NONE
TXN00103,MATCHED,MATCHED,MATCHED,NONE
TXN00104,MATCHED,MATCHED,MATCHED,NONE
TXN00105,MATCHED,MATCHED,MATCHED,NONE
TXN00106,MATCHED,MATCHED,MATCHED,NONE
TXN00107,MATCHED,MATCHED,MATCHED,NONE
TXN00108,MATCHED,MATCHED,MATCHED,NONE
TXN00109,MATCHED,MATCHED,MATCHED,NONE
TXN00110,MATCHED,MATCHED,MATCHED,NONE
TXN00111,MATCHED,MATCHED,MATCHED,NONE
TXN00112,MATCHED,MATCHED,MATCHED,NONE
TXN00113,MATCHED,MATCHED,MATCHED,NONE
TXN00114,EXCEPTION,MISSING_PAYMENT,EXCEPTION,MISSING_PAYMENT
TXN00115,MATCHED,MATCHED,MATCHED,NONE
TXN00116,MATCHED,MATCHED,MATCHED,NONE
TXN00117,MATCHED,MATCHED,MATCHED,NONE
TXN00118,MATCHED,MATCHED,MATCHED,NONE
TXN00119,MATCHED,MATCHED,MATCHED,NONE
TXN00120,MATCHED,MATCHED,MATCHED,NONE
TXN00121,MATCHED,MATCHED,MATCHED,NONE
TXN00122,MATCHED,MATCHED,MATCHED,NONE
TXN00123,MATCHED,MATCHED,MATCHED,NONE
TXN00124,MATCHED,MATCHED,MATCHED,NONE
TXN00125,MATCHED,MATCHED,MATCHED,NONE
TXN00126,MATCHED,MATCHED,MATCHED,NONE
