analytics_category,metric,category,value,exception_count,total_difference,average_difference,maximum_difference,high_severity_count,medium_severity_count,low_severity_count,escalated_cases,pending_review_cases,ml_supported_cases,ml_disagreement_cases,escalation_rate_percent,ml_support_rate_percent,ml_disagreement_rate_percent,review_rate_percent
EXCEPTION_TYPE,EXCEPTION_TYPE,AMOUNT_MISMATCH,30.0,30,13538.18,451.2726666666667,1000.0,30,0,0,30,30,14,1,100.0,46.67,3.33,100.0
EXCEPTION_TYPE,EXCEPTION_TYPE,MISSING_PAYMENT,20.0,20,49780.0,2489.0,5999.0,20,0,0,20,20,0,0,100.0,0.0,0.0,100.0
EXCEPTION_TYPE,EXCEPTION_TYPE,MISSING_SETTLEMENT,20.0,20,48180.0,2409.0,7999.0,20,0,0,20,20,0,0,100.0,0.0,0.0,100.0
EXCEPTION_TYPE,EXCEPTION_TYPE,DUPLICATE_PAYMENT,15.0,15,52685.0,3512.3333333333335,9999.0,0,15,0,15,15,3,0,100.0,20.0,0.0,100.0
EXCEPTION_TYPE,EXCEPTION_TYPE,FAILED_PAYMENT,15.0,15,45885.0,3059.0,9999.0,15,0,0,15,15,1,0,100.0,6.67,0.0,100.0
EXCEPTION_TYPE,EXCEPTION_TYPE,PARTIAL_SETTLEMENT,15.0,15,18054.9,1203.66,2399.7,0,15,0,15,15,11,0,100.0,73.33,0.0,100.0
EXCEPTION_TYPE,EXCEPTION_TYPE,REFUND,15.0,15,8776.5,585.1,1499.75,15,0,0,15,15,1,0,100.0,6.67,0.0,100.0
EXCEPTION_TYPE,EXCEPTION_TYPE,CHARGEBACK,10.0,10,22767.25,2276.725,4999.0,10,0,0,10,10,1,0,100.0,10.0,0.0,100.0
EXCEPTION_TYPE,EXCEPTION_TYPE,INCORRECT_FEE,10.0,10,2354.2200000000003,235.42200000000003,499.95,0,10,0,0,10,10,0,0.0,100.0,0.0,100.0
EXCEPTION_TYPE,EXCEPTION_TYPE,DATE_MISMATCH,10.0,10,0.0,0.0,0.0,0,0,10,0,10,6,4,0.0,60.0,40.0,100.0
EXCEPTION_TYPE,EXCEPTION_TYPE,SETTLEMENT_DELAY,10.0,10,0.0,0.0,0.0,0,0,10,0,10,9,1,0.0,90.0,10.0,100.0
EXCEPTION_TYPE,EXCEPTION_TYPE,WRONG_TRANSACTION_REFERENCE,10.0,10,0.0,0.0,0.0,0,10,0,10,10,7,3,100.0,70.0,30.0,100.0
EXCEPTION_TYPE,EXCEPTION_TYPE,DUPLICATE_SETTLEMENT,10.0,10,-922.46,-92.24600000000001,-11.78,0,10,0,10,10,0,0,100.0,0.0,0.0,100.0
EXCEPTION_TYPE,EXCEPTION_TYPE,MULTIPLE_PAYMENTS,5.0,5,9148.5,1829.7,2999.7,0,5,0,5,5,5,0,100.0,100.0,0.0,100.0
EXCEPTION_TYPE,EXCEPTION_TYPE,UNKNOWN_ADJUSTMENT,5.0,5,-500.0,-100.0,250.0,0,5,0,5,5,3,0,100.0,60.0,0.0,100.0
SEVERITY,SEVERITY,HIGH,110.0,110,188926.93,1717.5175454545454,,,,,110,110,,,100.0,,,100.0
SEVERITY,SEVERITY,MEDIUM,70.0,70,80820.16,1154.5737142857142,,,,,60,70,,,85.71,,,100.0
SEVERITY,SEVERITY,LOW,20.0,20,0.0,0.0,,,,,0,20,,,0.0,,,100.0
FINANCIAL_SUMMARY,TOTAL_DIFFERENCE,TOTAL_DIFFERENCE,269747.09,,,,,,,,,,,,,,,
FINANCIAL_SUMMARY,ABSOLUTE_DIFFERENCE,ABSOLUTE_DIFFERENCE,273292.01,,,,,,,,,,,,,,,
FINANCIAL_SUMMARY,AVERAGE_DIFFERENCE,AVERAGE_DIFFERENCE,1348.74,,,,,,,,,,,,,,,
FINANCIAL_SUMMARY,AVERAGE_ABSOLUTE_DIFFERENCE,AVERAGE_ABSOLUTE_DIFFERENCE,1366.46,,,,,,,,,,,,,,,
FINANCIAL_SUMMARY,MAXIMUM_ABSOLUTE_DIFFERENCE,MAXIMUM_ABSOLUTE_DIFFERENCE,9999.0,,,,,,,,,,,,,,,
ESCALATION_BY_EXCEPTION,ESCALATION_BY_EXCEPTION,AMOUNT_MISMATCH,30.0,30,,,,,,,30,,,,100.0,,,
ESCALATION_BY_EXCEPTION,ESCALATION_BY_EXCEPTION,MISSING_PAYMENT,20.0,20,,,,,,,20,,,,100.0,,,
ESCALATION_BY_EXCEPTION,ESCALATION_BY_EXCEPTION,MISSING_SETTLEMENT,20.0,20,,,,,,,20,,,,100.0,,,
ESCALATION_BY_EXCEPTION,ESCALATION_BY_EXCEPTION,DUPLICATE_PAYMENT,15.0,15,,,,,,,15,,,,100.0,,,
ESCALATION_BY_EXCEPTION,ESCALATION_BY_EXCEPTION,FAILED_PAYMENT,15.0,15,,,,,,,15,,,,100.0,,,
ESCALATION_BY_EXCEPTION,ESCALATION_BY_EXCEPTION,PARTIAL_SETTLEMENT,15.0,15,,,,,,,15,,,,100.0,,,
ESCALATION_BY_EXCEPTION,ESCALATION_BY_EXCEPTION,REFUND,15.0,15,,,,,,,15,,,,100.0,,,
ESCALATION_BY_EXCEPTION,ESCALATION_BY_EXCEPTION,CHARGEBACK,10.0,10,,,,,,,10,,,,100.0,,,
ESCALATION_BY_EXCEPTION,ESCALATION_BY_EXCEPTION,DUPLICATE_SETTLEMENT,10.0,10,,,,,,,10,,,,100.0,,,
ESCALATION_BY_EXCEPTION,ESCALATION_BY_EXCEPTION,WRONG_TRANSACTION_REFERENCE,10.0,10,,,,,,,10,,,,100.0,,,
ESCALATION_BY_EXCEPTION,ESCALATION_BY_EXCEPTION,MULTIPLE_PAYMENTS,5.0,5,,,,,,,5,,,,100.0,,,
ESCALATION_BY_EXCEPTION,ESCALATION_BY_EXCEPTION,UNKNOWN_ADJUSTMENT,5.0,5,,,,,,,5,,,,100.0,,,
ESCALATION_BY_EXCEPTION,ESCALATION_BY_EXCEPTION,DATE_MISMATCH,0.0,10,,,,,,,0,,,,0.0,,,
ESCALATION_BY_EXCEPTION,ESCALATION_BY_EXCEPTION,INCORRECT_FEE,0.0,10,,,,,,,0,,,,0.0,,,
ESCALATION_BY_EXCEPTION,ESCALATION_BY_EXCEPTION,SETTLEMENT_DELAY,0.0,10,,,,,,,0,,,,0.0,,,
