exception_type,actual_count,predicted_count,true_positive,false_positive,false_negative,precision,recall,f1
AMOUNT_MISMATCH,30,30,30,0,0,1.0,1.0,1.0
CHARGEBACK,10,10,10,0,0,1.0,1.0,1.0
DATE_MISMATCH,10,10,10,0,0,1.0,1.0,1.0
DUPLICATE_PAYMENT,15,15,15,0,0,1.0,1.0,1.0
DUPLICATE_SETTLEMENT,10,10,10,0,0,1.0,1.0,1.0
FAILED_PAYMENT,15,15,15,0,0,1.0,1.0,1.0
INCORRECT_FEE,10,10,10,0,0,1.0,1.0,1.0
MISSING_PAYMENT,20,20,20,0,0,1.0,1.0,1.0
MISSING_SETTLEMENT,20,20,20,0,0,1.0,1.0,1.0
MULTIPLE_PAYMENTS,5,5,5,0,0,1.0,1.0,1.0
PARTIAL_SETTLEMENT,15,15,15,0,0,1.0,1.0,1.0
REFUND,15,15,15,0,0,1.0,1.0,1.0
SETTLEMENT_DELAY,10,10,10,0,0,1.0,1.0,1.0
UNKNOWN_ADJUSTMENT,5,5,5,0,0,1.0,1.0,1.0
WRONG_TRANSACTION_REFERENCE,10,10,10,0,0,1.0,1.0,1.0
