transaction_id,order_id,merchant_id,customer_id,order_date,order_amount,currency,payment_method,payment_count,payment_total,payment_statuses,payment_dates,payment_ids,payment_methods,bank_transaction_count,bank_total,bank_references,bank_dates,bank_transaction_types,settlement_count,settlement_gross_total,settlement_fee_total,settlement_tax_total,settlement_adjustment_total,settlement_refund_total,settlement_chargeback_total,settlement_net_total,settlement_dates,settlement_ids,settlement_references,settlement_statuses,clean_payment_dates,clean_payment_total,clean_settlement_date,clean_settlement_gross,clean_settlement_fee,clean_settlement_tax,clean_settlement_adjustment,clean_settlement_refund,clean_settlement_chargeback,clean_settlement_net,clean_bank_reference
TXN00001,ORD00001,MERCHANT_001,CUST0058,2026-03-12,799,INR,CARD,1.0,799.0,SUCCESS,2026-03-14,PAY00001,CARD,1,799,TXN00001,2026-03-14,CREDIT,1.0,799.0,7.99,1.44,0.0,0.0,0.0,789.57,2026-03-15,SET00001,SET00001,SETTLED,2026-03-14,799,2026-03-15,799.0,7.99,1.44,0.0,0.0,0.0,789.57,TXN00001
TXN00002,ORD00002,MERCHANT_001,CUST0072,2026-06-23,5999,INR,UPI,1.0,5999.0,SUCCESS,2026-06-23,PAY00002,UPI,1,5999,TXN00002,2026-06-23,CREDIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2026-06-23,5999,2026-06-24,5999.0,89.98,16.2,0.0,0.0,0.0,5892.82,TXN00002
TXN00003,ORD00003,MERCHANT_001,CUST0217,2026-01-08,299,INR,CARD,1.0,299.0,SUCCESS,2026-01-08,PAY00003,CARD,1,299,TXN00003,2026-01-08,CREDIT,1.0,299.0,3.59,0.65,0.0,0.0,0.0,294.76,2026-01-09,SET00003,SET00003,SETTLED,2026-01-08,299,2026-01-09,299.0,3.59,0.65,0.0,0.0,0.0,294.76,TXN00003
TXN00004,ORD00004,MERCHANT_005,CUST0120,2026-06-04,199,INR,CARD,1.0,199.0,SUCCESS,2026-06-06,PAY00004,CARD,1,199,TXN00004,2026-06-06,CREDIT,1.0,199.0,1.99,0.36,0.0,0.0,0.0,196.65,2026-06-05,SET00004,SET00004,SETTLED,2026-06-06,199,2026-06-05,199.0,1.99,0.36,0.0,0.0,0.0,196.65,TXN00004
TXN00005,ORD00005,MERCHANT_004,CUST0280,2026-02-26,2499,INR,NETBANKING,1.0,2499.0,SUCCESS,2026-02-26,PAY00005,NETBANKING,1,2499,TXN00005,2026-02-26,CREDIT,1.0,2499.0,49.98,9.0,0.0,0.0,0.0,2440.02,2026-03-01,SET00005,SET00005,SETTLED,2026-02-26,2499,2026-03-01,2499.0,49.98,9.0,0.0,0.0,0.0,2440.02,TXN00005
TXN00006,ORD00006,MERCHANT_002,CUST0004,2026-06-28,1999,INR,NETBANKING,1.0,1999.0,SUCCESS,2026-06-28,PAY00006,NETBANKING,1,1999,TXN00006,2026-06-28,CREDIT,1.0,1999.0,39.98,7.2,0.0,0.0,0.0,1951.82,2026-06-29,SET00006,SET00006,SETTLED,2026-06-28,1999,2026-06-29,1999.0,39.98,7.2,0.0,0.0,0.0,1951.82,TXN00006
TXN00007,ORD00007,MERCHANT_002,CUST0143,2026-02-25,7999,INR,NETBANKING,1.0,7999.0,SUCCESS,2026-02-25,PAY00007,NETBANKING,1,7999,TXN00007,2026-02-25,CREDIT,1.0,7999.0,79.99,14.4,0.0,0.0,0.0,7904.61,2026-02-27,SET00007,SET00007,SETTLED,2026-02-25,7999,2026-02-27,7999.0,79.99,14.4,0.0,0.0,0.0,7904.61,TXN00007
TXN00008,ORD00008,MERCHANT_001,CUST0053,2026-04-08,299,INR,NETBANKING,1.0,299.0,SUCCESS,2026-04-08,PAY00008,NETBANKING,1,299,TXN00008,2026-04-08,CREDIT,1.0,299.0,2.99,0.54,0.0,0.0,0.0,295.47,2026-04-09,SET00008,SET00008,SETTLED,2026-04-08,299,2026-04-09,299.0,2.99,0.54,0.0,0.0,0.0,295.47,TXN00008
TXN00009,ORD00009,MERCHANT_005,CUST0177,2026-03-09,7999,INR,UPI,1.0,7999.0,SUCCESS,2026-03-11,PAY00009,UPI,1,7999,TXN00009,2026-03-11,CREDIT,1.0,7999.0,95.99,17.28,0.0,0.0,0.0,7885.73,2026-03-10,SET00009,SET00009,SETTLED,2026-03-11,7999,2026-03-10,7999.0,95.99,17.28,0.0,0.0,0.0,7885.73,TXN00009
TXN00010,ORD00010,MERCHANT_005,CUST0236,2026-02-01,1999,INR,UPI,1.0,1999.0,SUCCESS,2026-02-01,PAY00010,UPI,1,1999,TXN00010,2026-02-01,CREDIT,1.0,1999.0,39.98,7.2,0.0,0.0,0.0,1951.82,2026-02-03,SET00010,SET00010,SETTLED,2026-02-01,1999,2026-02-03,1999.0,39.98,7.2,0.0,0.0,0.0,1951.82,TXN00010
