analytics_category,metric,category,case_count,secondary_count,percentage
ML_SUMMARY,TOTAL_EXCEPTION_CASES,,200.0,,
ML_SUMMARY,RULE_CONFIRMED_BY_ML,,120.0,,
ML_SUMMARY,RULE_EXCEPTION_ML_SUPPORT,,71.0,,
ML_SUMMARY,RULE_EXCEPTION_ML_DISAGREEMENT,,9.0,,
ML_SUMMARY,ML_STATUS_AGREEMENT_CASES,,191.0,,
ML_SUMMARY,ML_EXCEPTION_TYPE_AGREEMENT_CASES,,192.0,,
ML_SUMMARY,AVERAGE_EXCEPTION_PROBABILITY,,0.898,,
ML_SUMMARY,AVERAGE_EXCEPTION_TYPE_PROBABILITY,,0.8387,,
HYBRID_DECISION,,RULE_CONFIRMED_BY_ML,120.0,120,12.0
HYBRID_DECISION,,RULE_EXCEPTION_ML_DISAGREEMENT,9.0,9,0.9
HYBRID_DECISION,,RULE_EXCEPTION_ML_SUPPORT,71.0,71,7.1
HYBRID_DECISION,,RULE_MATCHED,800.0,0,80.0
AGENT_DECISION,,DATE_REVIEW,10.0,0,0.0
AGENT_DECISION,,ESCALATE_FOR_REVIEW,170.0,170,100.0
AGENT_DECISION,,FEE_REVIEW,10.0,0,0.0
AGENT_DECISION,,SETTLEMENT_REVIEW,10.0,0,0.0
ACTION_TYPE,,CREATE_DATE_REVIEW,10.0,0,
ACTION_TYPE,,CREATE_ESCALATION_CASE,170.0,170,
ACTION_TYPE,,CREATE_FEE_REVIEW,10.0,0,
ACTION_TYPE,,CREATE_SETTLEMENT_REVIEW,10.0,0,
ESCALATION_BY_HYBRID_DECISION,,RULE_CONFIRMED_BY_ML,120.0,120,100.0
ESCALATION_BY_HYBRID_DECISION,,RULE_EXCEPTION_ML_DISAGREEMENT,9.0,4,44.44
ESCALATION_BY_HYBRID_DECISION,,RULE_EXCEPTION_ML_SUPPORT,71.0,46,64.79
