transaction_id,target_exception,target_exception_type,predicted_exception,exception_probability,correct
TXN00705,0,NONE,0,0.045,True
TXN00904,0,NONE,0,0.0,True
TXN00617,0,NONE,0,0.0,True
TXN00651,0,NONE,0,0.01,True
TXN00572,0,NONE,0,0.004,True
TXN00852,0,NONE,0,0.0,True
TXN00604,0,NONE,0,0.055,True
TXN00967,0,NONE,0,0.01,True
TXN00329,0,NONE,0,0.045,True
TXN00477,1,AMOUNT_MISMATCH,1,0.975,True
TXN00656,0,NONE,0,0.005,True
TXN00696,0,NONE,0,0.01,True
TXN00881,0,NONE,0,0.005,True
TXN00192,0,NONE,0,0.004,True
TXN00722,0,NONE,0,0.01,True
TXN00831,0,NONE,0,0.1769879336349925,True
TXN00486,0,NONE,0,0.0,True
TXN00476,1,DATE_MISMATCH,0,0.0,False
TXN00260,0,NONE,0,0.03333333333333333,True
TXN00853,0,NONE,0,0.005,True
TXN00283,1,FAILED_PAYMENT,1,0.9,True
TXN00704,0,NONE,0,0.035,True
TXN00892,1,DUPLICATE_PAYMENT,1,0.995,True
TXN00929,1,FAILED_PAYMENT,1,0.905,True
TXN00573,0,NONE,0,0.005,True
TXN00594,0,NONE,0,0.04,True
TXN00876,0,NONE,0,0.31,True
TXN00066,0,NONE,0,0.015,True
TXN00379,0,NONE,0,0.005,True
TXN00676,0,NONE,0,0.03,True
TXN00526,0,NONE,0,0.0,True
TXN00241,0,NONE,0,0.045,True
TXN00823,0,NONE,0,0.175,True
TXN00324,0,NONE,0,0.01,True
TXN00495,0,NONE,0,0.01,True
TXN00614,0,NONE,0,0.01,True
TXN00708,0,NONE,0,0.0,True
TXN00036,0,NONE,0,0.245,True
TXN00807,0,NONE,0,0.005,True
TXN00706,0,NONE,0,0.025,True
TXN00388,0,NONE,0,0.005,True
TXN00740,0,NONE,0,0.035,True
TXN00261,0,NONE,0,0.01,True
TXN00938,0,NONE,0,0.03,True
TXN00275,0,NONE,0,0.1,True
TXN00574,0,NONE,0,0.03,True
TXN00137,1,WRONG_TRANSACTION_REFERENCE,0,0.009000000000000001,False
TXN00287,0,NONE,0,0.05,True
TXN00408,0,NONE,0,0.02,True
TXN00078,0,NONE,0,0.0,True
TXN00206,0,NONE,0,0.175,True
TXN00593,0,NONE,0,0.005,True
TXN00024,0,NONE,0,0.013000000000000001,True
TXN00193,0,NONE,0,0.01,True
TXN00118,0,NONE,0,0.05,True
TXN00964,0,NONE,0,0.03,True
TXN00874,0,NONE,0,0.015,True
TXN00742,1,MISSING_PAYMENT,1,0.995,True
TXN00290,0,NONE,0,0.165,True
TXN00044,0,NONE,0,0.054000000000000006,True
TXN00003,0,NONE,0,0.02,True
TXN00119,0,NONE,0,0.06,True
TXN00211,1,DUPLICATE_SETTLEMENT,1,0.935,True
TXN00580,0,NONE,0,0.0,True
TXN00524,1,AMOUNT_MISMATCH,1,0.95,True
TXN00178,1,DUPLICATE_PAYMENT,1,0.99,True
TXN00428,0,NONE,0,0.005,True
TXN00846,0,NONE,0,0.025,True
TXN00981,0,NONE,0,0.0,True
TXN00122,0,NONE,0,0.03,True
TXN00348,0,NONE,0,0.03,True
TXN00006,0,NONE,0,0.005,True
TXN00875,0,NONE,0,0.145,True
TXN00309,1,WRONG_TRANSACTION_REFERENCE,0,0.005,False
TXN00333,0,NONE,0,0.015,True
TXN00027,1,DATE_MISMATCH,0,0.029857142857142856,False
TXN00420,0,NONE,0,0.0,True
TXN00487,0,NONE,0,0.015,True
TXN00769,0,NONE,0,0.06,True
TXN00877,0,NONE,0,0.045,True
TXN00813,0,NONE,0,0.0,True
TXN00416,0,NONE,0,0.385,True
