transaction_id,order_amount,payment_total,bank_total,settlement_gross_total,settlement_net_total,settlement_fee_total,settlement_tax_total,settlement_adjustment_total,settlement_refund_total,settlement_chargeback_total,payment_order_difference,bank_order_difference,settlement_gross_order_difference,settlement_net_order_difference,payment_bank_difference,bank_settlement_difference,payment_order_ratio,bank_order_ratio,settlement_gross_order_ratio,settlement_net_order_ratio,payment_count,bank_transaction_count,settlement_count,has_payment,has_settlement,has_multiple_payments,has_multiple_settlements,has_multiple_bank_transactions,has_refund,has_chargeback,has_adjustment,has_fee,has_tax,payment_success,payment_failed,payment_order_delay_days,settlement_order_delay_days,settlement_payment_delay_days,payment_date_available,settlement_date_available,payment_before_order,settlement_before_order,settlement_before_payment,payment_method,currency,merchant_id,target_exception,target_exception_type
TXN00354,3999,3999.0,3999,3999.0,3951.81,39.99,7.2,0.0,0.0,0.0,0.0,0,0.0,-47.190000000000055,0.0,0.0,1.0,1.0,1.0,0.9881995498874718,1.0,1,1.0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,UPI,INR,MERCHANT_001,0,NONE
TXN00965,1999,1999.0,1999,1999.0,1963.62,29.98,5.4,0.0,0.0,0.0,0.0,0,0.0,-35.38000000000011,0.0,0.0,1.0,1.0,1.0,0.9823011505752876,1.0,1,1.0,1,1,0,0,0,0,0,0,1,1,1,0,0,2,2,1,1,0,0,0,NETBANKING,INR,MERCHANT_002,0,NONE
TXN00749,499,499.0,499,499.0,488.4,8.98,1.62,0.0,0.0,0.0,0.0,0,0.0,-10.600000000000025,0.0,0.0,1.0,1.0,1.0,0.97875751503006,1.0,1,1.0,1,1,0,0,0,0,0,0,1,1,1,0,0,3,3,1,1,0,0,0,UPI,INR,MERCHANT_003,0,NONE
TXN00578,799,799.0,799,799.0,716.22,79.9,2.88,0.0,0.0,0.0,0.0,0,0.0,-82.77999999999997,0.0,0.0,1.0,1.0,1.0,0.89639549436796,1.0,1,1.0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,CARD,INR,MERCHANT_001,1,INCORRECT_FEE
TXN00355,5999,5999.0,5999,5999.0,5428.21,59.99,10.8,0.0,0.0,0.0,0.0,0,0.0,-570.79,0.0,0.0,1.0,1.0,1.0,0.9048524754125687,1.0,1,1.0,1,1,0,0,0,0,0,0,1,1,1,0,1,3,2,1,1,0,0,0,CARD,INR,MERCHANT_005,1,AMOUNT_MISMATCH
TXN00179,299,299.0,299,299.0,291.94,5.98,1.08,0.0,0.0,0.0,0.0,0,0.0,-7.060000000000002,0.0,0.0,1.0,1.0,1.0,0.9763879598662208,1.0,1,1.0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,UPI,INR,MERCHANT_003,1,DATE_MISMATCH
TXN00187,1999,1999.0,1999,1999.0,1951.82,39.98,7.2,0.0,0.0,0.0,0.0,0,0.0,-47.180000000000064,0.0,0.0,1.0,1.0,1.0,0.9763981990995496,1.0,1,1.0,1,1,0,0,0,0,0,0,1,1,1,0,0,2,2,1,1,0,0,0,WALLET,INR,MERCHANT_002,0,NONE
TXN00958,2999,2999.0,2999,2999.0,2956.53,35.99,6.48,0.0,0.0,0.0,0.0,0,0.0,-42.4699999999998,0.0,0.0,1.0,1.0,1.0,0.9858386128709572,1.0,1,1.0,1,1,0,0,0,0,0,0,1,1,1,0,0,2,2,1,1,0,0,0,UPI,INR,MERCHANT_004,0,NONE
TXN00963,3999,3999.0,3999,3999.0,3914.06,71.98,12.96,0.0,0.0,0.0,0.0,0,0.0,-84.94000000000005,0.0,0.0,1.0,1.0,1.0,0.9787596899224806,1.0,1,1.0,1,1,0,0,0,0,0,0,1,1,1,0,0,2,2,1,1,0,0,0,NETBANKING,INR,MERCHANT_005,0,NONE
TXN00085,799,799.0,799,799.0,789.57,7.99,1.44,0.0,0.0,0.0,0.0,0,0.0,-9.42999999999995,0.0,0.0,1.0,1.0,1.0,0.98819774718398,1.0,1,1.0,1,1,0,0,0,0,0,0,1,1,1,0,2,2,0,1,1,0,0,0,CARD,INR,MERCHANT_001,0,NONE
TXN00918,5999,5999.0,5999,5999.0,5957.42,119.98,21.6,100.0,0.0,0.0,0.0,0,0.0,-41.57999999999993,0.0,0.0,1.0,1.0,1.0,0.993068844807468,1.0,1,1.0,1,1,0,0,0,0,0,1,1,1,1,0,0,2,2,1,1,0,0,0,CARD,INR,MERCHANT_005,1,UNKNOWN_ADJUSTMENT
TXN00210,2999,2999.0,2999,2999.0,2956.53,35.99,6.48,0.0,0.0,0.0,0.0,0,0.0,-42.4699999999998,0.0,0.0,1.0,1.0,1.0,0.9858386128709572,1.0,1,1.0,1,1,0,0,0,0,0,0,1,1,1,0,0,2,2,1,1,0,0,0,NETBANKING,INR,MERCHANT_001,0,NONE
TXN00049,2999,2999.0,2999,2999.0,2956.53,35.99,6.48,0.0,0.0,0.0,0.0,0,0.0,-42.4699999999998,0.0,0.0,1.0,1.0,1.0,0.9858386128709572,1.0,1,1.0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,WALLET,INR,MERCHANT_002,0,NONE
TXN00498,7999,7999.0,7999,7999.0,7810.22,159.98,28.8,0.0,0.0,0.0,0.0,0,0.0,-188.77999999999972,0.0,0.0,1.0,1.0,1.0,0.976399549943743,1.0,1,1.0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,UPI,INR,MERCHANT_004,0,NONE
TXN00389,999,999.0,999,999.0,975.42,19.98,3.6,0.0,0.0,0.0,0.0,0,0.0,-23.58000000000004,0.0,0.0,1.0,1.0,1.0,0.9763963963963964,1.0,1,1.0,1,1,0,0,0,0,0,0,1,1,1,0,0,2,2,1,1,0,0,0,CARD,INR,MERCHANT_005,0,NONE
TXN00872,9999,9999.0,9999,9999.0,9822.02,149.98,27.0,0.0,0.0,0.0,0.0,0,0.0,-176.97999999999956,0.0,0.0,1.0,1.0,1.0,0.9823002300230024,1.0,1,1.0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,CARD,INR,MERCHANT_005,0,NONE
TXN00890,299,299.0,299,299.0,291.94,5.98,1.08,0.0,0.0,0.0,0.0,0,0.0,-7.060000000000002,0.0,0.0,1.0,1.0,1.0,0.9763879598662208,1.0,1,1.0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,CARD,INR,MERCHANT_004,0,NONE
TXN00933,7999,7999.0,7999,7999.0,7810.22,159.98,28.8,0.0,0.0,0.0,0.0,0,0.0,-188.77999999999972,0.0,0.0,1.0,1.0,1.0,0.976399549943743,1.0,1,1.0,1,1,0,0,0,0,0,0,1,1,1,0,0,2,2,1,1,0,0,0,UPI,INR,MERCHANT_003,0,NONE
TXN00063,5999,5999.0,5999,5999.0,5914.05,71.99,12.96,0.0,0.0,0.0,0.0,0,0.0,-84.94999999999982,0.0,0.0,1.0,1.0,1.0,0.985839306551092,1.0,1,1.0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,NETBANKING,INR,MERCHANT_002,0,NONE
TXN00940,5999,5999.0,5999,5999.0,5892.82,89.98,16.2,0.0,0.0,0.0,0.0,0,0.0,-106.18000000000028,0.0,0.0,1.0,1.0,1.0,0.9823003833972328,1.0,1,1.0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,WALLET,INR,MERCHANT_005,1,FAILED_PAYMENT
