feature,importance
numerical__settlement_net_order_ratio,0.22343595545812756
numerical__settlement_net_order_difference,0.1714298524119938
numerical__payment_success,0.05957765670089224
numerical__settlement_net_total,0.04858057905099406
numerical__payment_bank_difference,0.033171869817410556
numerical__payment_order_difference,0.030334367614572578
numerical__settlement_fee_total,0.028533040872377752
numerical__payment_failed,0.02746144592332272
numerical__payment_total,0.02623796941093535
numerical__settlement_tax_total,0.025554793345669877
numerical__payment_count,0.02505788347807427
numerical__payment_order_ratio,0.022764948686803177
numerical__settlement_payment_delay_days,0.020476777771041035
numerical__has_multiple_payments,0.019521623668851847
numerical__settlement_gross_total,0.014915256492676793
numerical__settlement_order_delay_days,0.014214716813389252
numerical__payment_order_delay_days,0.013544053166317028
numerical__bank_total,0.01205593571103899
numerical__order_amount,0.011987573570732381
numerical__has_payment,0.010696932782398942
categorical__payment_method_UPI,0.010647309562128775
categorical__payment_method_NETBANKING,0.00975138849140956
numerical__settlement_gross_order_ratio,0.009715876043052251
numerical__settlement_count,0.009617920519508993
categorical__merchant_id_MERCHANT_004,0.009142025763697761
categorical__merchant_id_MERCHANT_005,0.00882283079597156
numerical__bank_settlement_difference,0.008641807535498114
numerical__settlement_refund_total,0.008542732364108617
categorical__payment_method_WALLET,0.008423197184301243
numerical__settlement_gross_order_difference,0.00830716539458334
numerical__has_multiple_settlements,0.0077780458991829
categorical__merchant_id_MERCHANT_002,0.00757624902797283
categorical__merchant_id_MERCHANT_001,0.007157330989617278
categorical__payment_method_CARD,0.007150775511869801
categorical__merchant_id_MERCHANT_003,0.006877945523025075
numerical__has_adjustment,0.0065721176326177
numerical__has_refund,0.005593732609434602
numerical__settlement_before_payment,0.004862521999868197
numerical__settlement_adjustment_total,0.004145108088879148
numerical__has_settlement,0.0038156571132764478
numerical__has_tax,0.0021977418072950537
numerical__settlement_chargeback_total,0.0019400080748756654
numerical__has_chargeback,0.0017931805326190505
numerical__has_fee,0.0013740987875858284
categorical__currency_INR,0.0
numerical__bank_transaction_count,0.0
numerical__bank_order_ratio,0.0
numerical__bank_order_difference,0.0
numerical__has_multiple_bank_transactions,0.0
numerical__payment_date_available,0.0
numerical__settlement_date_available,0.0
numerical__payment_before_order,0.0
numerical__settlement_before_order,0.0
