transaction_id,order_id,order_amount,payment_count,payment_total,payment_dates,clean_payment_dates,bank_references,settlement_dates,clean_settlement_date,bank_transaction_count,bank_total,settlement_count,settlement_gross_total,settlement_fee_total,settlement_tax_total,settlement_adjustment_total,settlement_refund_total,settlement_chargeback_total,settlement_net_total,status,exception_type,reason,difference,clean_settlement_net,clean_settlement_gross,clean_settlement_fee,clean_settlement_tax,clean_settlement_adjustment,clean_settlement_refund,clean_settlement_chargeback
TXN00001,ORD00001,799,1.0,799.0,2026-03-14,2026-03-14,TXN00001,2026-03-15,2026-03-15,1,799,1.0,799.0,7.99,1.44,0.0,0.0,0.0,789.57,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,789.57,799.0,7.99,1.44,0.0,0.0,0.0
TXN00002,ORD00002,5999,1.0,5999.0,2026-06-23,2026-06-23,TXN00002,,2026-06-24,1,5999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EXCEPTION,MISSING_SETTLEMENT,No settlement record exists for the transaction.,5999.0,5892.82,5999.0,89.98,16.2,0.0,0.0,0.0
TXN00003,ORD00003,299,1.0,299.0,2026-01-08,2026-01-08,TXN00003,2026-01-09,2026-01-09,1,299,1.0,299.0,3.59,0.65,0.0,0.0,0.0,294.76,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,294.76,299.0,3.59,0.65,0.0,0.0,0.0
TXN00004,ORD00004,199,1.0,199.0,2026-06-06,2026-06-06,TXN00004,2026-06-05,2026-06-05,1,199,1.0,199.0,1.99,0.36,0.0,0.0,0.0,196.65,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,196.65,199.0,1.99,0.36,0.0,0.0,0.0
TXN00005,ORD00005,2499,1.0,2499.0,2026-02-26,2026-02-26,TXN00005,2026-03-01,2026-03-01,1,2499,1.0,2499.0,49.98,9.0,0.0,0.0,0.0,2440.02,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,2440.02,2499.0,49.98,9.0,0.0,0.0,0.0
TXN00006,ORD00006,1999,1.0,1999.0,2026-06-28,2026-06-28,TXN00006,2026-06-29,2026-06-29,1,1999,1.0,1999.0,39.98,7.2,0.0,0.0,0.0,1951.82,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,1951.82,1999.0,39.98,7.2,0.0,0.0,0.0
TXN00007,ORD00007,7999,1.0,7999.0,2026-02-25,2026-02-25,TXN00007,2026-02-27,2026-02-27,1,7999,1.0,7999.0,79.99,14.4,0.0,0.0,0.0,7904.61,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,7904.61,7999.0,79.99,14.4,0.0,0.0,0.0
TXN00008,ORD00008,299,1.0,299.0,2026-04-08,2026-04-08,TXN00008,2026-04-09,2026-04-09,1,299,1.0,299.0,2.99,0.54,0.0,0.0,0.0,295.47,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,295.47,299.0,2.99,0.54,0.0,0.0,0.0
TXN00009,ORD00009,7999,1.0,7999.0,2026-03-11,2026-03-11,TXN00009,2026-03-10,2026-03-10,1,7999,1.0,7999.0,95.99,17.28,0.0,0.0,0.0,7885.73,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,7885.73,7999.0,95.99,17.28,0.0,0.0,0.0
TXN00010,ORD00010,1999,1.0,1999.0,2026-02-01,2026-02-01,TXN00010,2026-02-03,2026-02-03,1,1999,1.0,1999.0,39.98,7.2,0.0,0.0,0.0,1951.82,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,1951.82,1999.0,39.98,7.2,0.0,0.0,0.0
